Vehicle	Miles	Event
V1	0	Start
V1	3917	Fail
V1	4492	Fail
V1	5099	Fail
V1	8027	Fail
V1	8094	Fail
V1	8571	Fail
V1	8810	Fail
V1	8837	Fail
V1	10347	Fail
V1	10689	Fail
V1	10856	Fail
V1	10970	Fail
V1	11253	Fail
V1	12098	Fail
V1	12298	Fail
V1	12566	Fail
V1	12647	Fail
V1	13424	Fail
V1	13487	Fail
V1	13509	Fail
V1	13535	Fail
V1	14052	Fail
V1	14170	Fail
V1	14625	Fail
V1	15069	Fail
V1	15343	Fail
V1	15361	Fail
V1	15936	Fail
V1	16257	Fail
V1	16311	Fail
V1	16779	Fail
V1	17228	Fail
V1	17627	Fail
V1	17964	Fail
V1	18165	Fail
V1	18402	Fail
V1	18518	Fail
V1	19146	Fail
V1	19201	Fail
V1	19248	Fail
V1	19304	Fail
V1	19327	Fail
V1	19345	Fail
V1	19377	Fail
V1	19416	Fail
V1	19511	Fail
V1	19849	Fail
V1	19959	Fail
V1	20074	Fail
V1	20382	Fail
V1	20649	Fail
V1	20810	Fail
V1	21083	Fail
V1	21258	Fail
V1	21752	Fail
V1	21996	Fail
V1	22649	Fail
V1	22979	Fail
V1	23052	Fail
V1	23072	Fail
V1	23208	Fail
V1	23621	Fail
V1	23645	Fail
V1	24032	Fail
V1	24095	Fail
V1	24351	Fail
V1	24360	Fail
V1	24578	Fail
V1	24605	Fail
V1	24694	Fail
V1	24735	Fail
V1	24798	Fail
V1	24982	Fail
V1	25135	Fail
V1	25230	Fail
V1	25437	Fail
V1	25889	Fail
V1	25897	Fail
V1	26003	Fail
V1	26007	Fail
V1	26563	Fail
V1	26587	Fail
V1	26614	Fail
V1	26900	Fail
V1	26962	Fail
V1	26996	Fail
V1	27002	Fail
V1	27457	Fail
V1	27463	Fail
V1	27524	Fail
V1	27593	End
V2	0	Start
V2	3116	Fail
V2	7326	Fail
V2	9863	Fail
V2	10692	Fail
V2	11664	Fail
V2	11735	Fail
V2	11890	Fail
V2	12011	Fail
V2	12027	Fail
V2	12111	Fail
V2	12222	Fail
V2	12702	Fail
V2	12703	Fail
V2	12785	Fail
V2	12796	Fail
V2	13055	Fail
V2	13096	Fail
V2	13684	Fail
V2	14246	Fail
V2	14430	Fail
V2	14472	Fail
V2	14903	Fail
V2	15051	Fail
V2	15228	Fail
V2	16005	Fail
V2	16536	Fail
V2	16685	Fail
V2	17007	Fail
V2	17033	Fail
V2	17358	Fail
V2	17400	Fail
V2	17566	Fail
V2	17582	Fail
V2	17782	Fail
V2	18470	Fail
V2	18872	Fail
V2	18886	Fail
V2	18993	Fail
V2	19535	Fail
V2	19634	Fail
V2	20329	Fail
V2	20514	Fail
V2	20544	Fail
V2	21249	Fail
V2	21594	Fail
V2	21997	Fail
V2	22256	Fail
V2	22391	Fail
V2	22839	Fail
V2	22849	Fail
V2	22923	Fail
V2	23231	Fail
V2	23514	Fail
V2	23579	Fail
V2	23616	Fail
V2	23688	Fail
V2	23913	Fail
V2	24143	Fail
V2	24189	Fail
V2	24196	End
V3	0	Start
V3	5964	Fail
V3	6761	Fail
V3	7312	Fail
V3	7526	Fail
V3	8873	Fail
V3	10054	Fail
V3	10208	Fail
V3	10347	Fail
V3	11649	Fail
V3	12708	Fail
V3	12948	Fail
V3	13368	Fail
V3	14568	Fail
V3	15162	Fail
V3	15179	Fail
V3	15646	Fail
V3	15683	Fail
V3	15881	Fail
V3	16401	Fail
V3	16540	Fail
V3	16651	Fail
V3	16963	Fail
V3	17178	Fail
V3	17644	Fail
V3	17874	Fail
V3	17951	Fail
V3	18006	Fail
V3	18268	Fail
V3	18708	Fail
V3	18852	Fail
V3	19926	Fail
V3	20055	Fail
V3	20659	Fail
V3	20824	Fail
V3	20981	Fail
V3	21315	Fail
V3	22299	Fail
V3	22531	Fail
V3	22649	Fail
V3	22661	Fail
V3	23000	Fail
V3	23051	Fail
V3	23231	Fail
V3	23406	Fail
V3	23527	Fail
V3	23663	Fail
V3	23683	Fail
V3	23955	Fail
V3	24371	Fail
V3	24426	Fail
V3	24794	Fail
V3	24820	Fail
V3	24834	Fail
V3	25089	Fail
V3	25453	Fail
V3	25609	Fail
V3	25628	Fail
V3	25667	Fail
V3	25725	Fail
V3	25973	Fail
V3	25992	Fail
V3	26081	Fail
V3	26312	Fail
V3	26501	Fail
V3	26538	Fail
V3	26569	Fail
V3	26589	Fail
V3	26603	Fail
V3	26750	Fail
V3	26869	Fail
V3	26872	Fail
V3	26909	Fail
V3	27077	Fail
V3	27120	Fail
V3	27132	Fail
V3	27143	Fail
V3	27271	Fail
V3	27342	Fail
V3	27362	Fail
V3	27419	Fail
V3	27506	Fail
V3	27530	Fail
V3	27710	Fail
V3	27796	Fail
V3	27852	Fail
V3	27981	Fail
V3	28313	Fail
V3	28462	Fail
V3	28477	Fail
V3	28543	Fail
V3	28712	Fail
V3	28821	Fail
V3	28864	End
V4	0	Start
V4	6697	Fail
V4	8345	Fail
V4	8767	Fail
V4	9634	Fail
V4	10145	Fail
V4	10848	Fail
V4	11044	Fail
V4	11045	Fail
V4	11083	Fail
V4	11482	Fail
V4	12590	Fail
V4	12871	Fail
V4	13710	Fail
V4	14193	Fail
V4	14356	Fail
V4	14385	Fail
V4	14456	Fail
V4	14962	Fail
V4	15274	Fail
V4	16152	Fail
V4	16517	Fail
V4	17499	Fail
V4	18374	Fail
V4	18541	Fail
V4	19036	Fail
V4	19086	Fail
V4	19281	Fail
V4	19671	Fail
V4	19766	Fail
V4	19917	Fail
V4	19991	Fail
V4	20357	Fail
V4	20427	Fail
V4	20429	Fail
V4	20530	Fail
V4	20620	Fail
V4	20727	Fail
V4	20790	Fail
V4	20800	Fail
V4	20865	Fail
V4	20919	Fail
V4	21052	Fail
V4	21156	Fail
V4	21235	Fail
V4	21370	Fail
V4	21508	Fail
V4	21616	Fail
V4	21931	Fail
