Vehicle	Miles	Event
V1	768	Start
V1	1175	End
V1	2416	Start
V1	2859	End
V1	3776	Start
V1	3917	Fail
V1	4365	End
V1	5626	Start
V1	6185	End
V1	7442	Start
V1	7944	End
V1	8681	Start
V1	8810	Fail
V1	8837	Fail
V1	9148	End
V1	10328	Start
V1	10347	Fail
V1	10689	Fail
V1	10856	Fail
V1	10882	End
V1	12213	Start
V1	12298	Fail
V1	12566	Fail
V1	12647	Fail
V1	12663	End
V1	13873	Start
V1	14052	Fail
V1	14170	Fail
V1	14404	End
V1	15225	Start
V1	15343	Fail
V1	15361	Fail
V1	15807	End
V1	16897	Start
V1	17228	Fail
V1	17367	End
V1	18699	Start
V1	19146	Fail
V1	19201	Fail
V1	19248	Fail
V1	19260	End
V1	20615	Start
V1	20649	Fail
V1	20810	Fail
V1	21083	Fail
V1	21183	End
V1	21910	Start
V1	21996	Fail
V1	22318	End
V1	23586	Start
V1	23621	Fail
V1	23645	Fail
V1	24032	Fail
V1	24095	Fail
V1	24111	End
V1	25003	Start
V1	25135	Fail
V1	25230	Fail
V1	25437	Fail
V1	25558	End
V1	26498	Start
V1	26563	Fail
V1	26587	Fail
V1	26614	Fail
V1	26900	Fail
V1	26962	Fail
V1	26996	Fail
V1	27002	Fail
V1	27013	End
V2	760	Start
V2	1216	End
V2	1899	Start
V2	2403	End
V2	3802	Start
V2	4232	End
V2	5264	Start
V2	5760	End
V2	7050	Start
V2	7326	Fail
V2	7524	End
V2	8391	Start
V2	8982	End
V2	10202	Start
V2	10692	Fail
V2	10724	End
V2	11342	Start
V2	11664	Fail
V2	11735	Fail
V2	11890	Fail
V2	11938	End
V2	12799	Start
V2	13055	Fail
V2	13096	Fail
V2	13300	End
V2	14451	Start
V2	14472	Fail
V2	14891	End
V2	15560	Start
V2	16005	Fail
V2	16030	End
V2	16841	Start
V2	17007	Fail
V2	17033	Fail
V2	17242	End
V2	18617	Start
V2	18872	Fail
V2	18886	Fail
V2	18993	Fail
V2	19149	End
V2	20106	Start
V2	20329	Fail
V2	20514	Fail
V2	20544	Fail
V2	20553	End
V2	21210	Start
V2	21249	Fail
V2	21594	Fail
V2	21743	End
V2	22795	Start
V2	22839	Fail
V2	22849	Fail
V2	22923	Fail
V2	23231	Fail
V2	23302	End
V3	672	Start
V3	1159	End
V3	2515	Start
V3	2938	End
V3	4024	Start
V3	4569	End
V3	5708	Start
V3	5964	Fail
V3	6112	End
V3	6715	Start
V3	6761	Fail
V3	7159	End
V3	8204	Start
V3	8676	End
V3	9749	Start
V3	10054	Fail
V3	10193	End
V3	11310	Start
V3	11649	Fail
V3	11763	End
V3	12802	Start
V3	12948	Fail
V3	13270	End
V3	14505	Start
V3	14568	Fail
V3	15105	End
V3	16190	Start
V3	16401	Fail
V3	16540	Fail
V3	16651	Fail
V3	16672	End
V3	17622	Start
V3	17644	Fail
V3	17874	Fail
V3	17951	Fail
V3	18006	Fail
V3	18169	End
V3	19519	Start
V3	19926	Fail
V3	20027	End
V3	21236	Start
V3	21315	Fail
V3	21779	End
V3	23085	Start
V3	23231	Fail
V3	23406	Fail
V3	23527	Fail
V3	23631	End
V3	24856	Start
V3	25089	Fail
V3	25361	End
V3	26142	Start
V3	26312	Fail
V3	26501	Fail
V3	26538	Fail
V3	26548	End
V3	27259	Start
V3	27271	Fail
V3	27342	Fail
V3	27362	Fail
V3	27419	Fail
V3	27506	Fail
V3	27530	Fail
V3	27710	Fail
V3	27747	End
V3	28594	Start
V3	28712	Fail
V3	28821	Fail
V3	28864	End
V4	949	Start
V4	1373	End
V4	2402	Start
V4	2890	End
V4	3663	Start
V4	4072	End
V4	5206	Start
V4	5733	End
V4	7125	Start
V4	7702	End
V4	8328	Start
V4	8345	Fail
V4	8767	Fail
V4	8882	End
V4	9992	Start
V4	10145	Fail
V4	10398	End
V4	11776	Start
V4	12346	End
V4	13079	Start
V4	13627	End
V4	14499	Start
V4	14943	End
V4	15688	Start
V4	16152	Fail
V4	16214	End
V4	16918	Start
V4	17453	End
V4	18583	Start
V4	19009	End
V4	20389	Start
V4	20427	Fail
V4	20429	Fail
V4	20530	Fail
V4	20620	Fail
V4	20727	Fail
V4	20790	Fail
V4	20800	Fail
V4	20865	Fail
V4	20866	End
V4	22240	Start
V4	22503	Fail
V4	22818	End
V4	23702	Start
V4	23736	Fail
V4	23760	Fail
V4	24139	End
V4	24900	Start
V4	24915	Fail
V4	24929	Fail
V4	25017	Fail
V4	25062	Fail
V4	25350	End
V5	1089	Start
V5	1572	End
V5	2185	Start
V5	2663	End
V5	3806	Start
V5	4342	End
V5	5597	Start
V5	5779	Fail
V5	5984	Fail
V5	6025	End
V5	6939	Start
V5	7226	Fail
V5	7476	End
V5	8704	Start
V5	9022	Fail
V5	9221	End
V5	10247	Start
V5	10363	Fail
V5	10460	Fail
V5	10697	End
V5	11401	Start
V5	11643	Fail
V5	11912	End
V5	12614	Start
V5	12681	Fail
V5	12865	Fail
V5	13175	End
V5	14080	Start
V5	14673	End
V5	16004	Start
V5	16473	End
V5	17489	Start
V5	17721	Fail
V5	17944	End
V5	18678	Start
V5	18736	Fail
V5	18785	Fail
V5	18904	Fail
V5	18992	Fail
V5	19036	Fail
V5	19132	Fail
V5	19155	Fail
V5	19198	End
V5	20108	Start
V5	20176	Fail
V5	20394	Fail
V5	20423	Fail
V5	20599	Fail
V5	20601	End
V5	21370	Start
V5	21560	Fail
V5	21573	Fail
V5	21810	End
V5	22535	Start
