Kilocycles Event Count
94 Failed 1
96 Failed 1
99 Failed 1
99 Failed 1
104 Failed 1
108 Failed 1
112 Failed 1
114 Failed 1
117 Failed 1
117 Failed 1
118 Failed 1
121 Failed 1
121 Failed 1
123 Failed 1
129 Failed 1
131 Failed 1
133 Failed 1
135 Failed 1
136 Failed 1
139 Failed 1
139 Failed 1
140 Failed 1
141 Failed 1
141 Failed 1
143 Failed 1
144 Failed 1
149 Failed 1
149 Failed 1
152 Failed 1
153 Failed 1
159 Failed 1
159 Failed 1
159 Failed 1
159 Failed 1
162 Failed 1
168 Failed 1
168 Failed 1
169 Failed 1
170 Failed 1
170 Failed 1
171 Failed 1
172 Failed 1
173 Failed 1
176 Failed 1
177 Failed 1
180 Failed 1
180 Failed 1
184 Failed 1
187 Failed 1
188 Failed 1
189 Failed 1
190 Failed 1
196 Failed 1
197 Failed 1
203 Failed 1
205 Failed 1
211 Failed 1
213 Failed 1
224 Failed 1
226 Failed 1
227 Failed 1
256 Failed 1
257 Failed 1
269 Failed 1
271 Failed 1
274 Failed 1
291 Failed 1
300 Censored 5
