Pounds	celsius	Days	Group
8140	150	1	A
4550	150	1	A
8780	150	1	A
10060	150	1	A
5800	150	1	A
6080	150	4	B
5430	150	4	B
5060	150	4	B
2620	150	4	B
4700	150	4	B
4684	150	5	C
4713	150	5	C
4547	150	5	C
2222	150	5	C
4275	150	5	C
7970	130	1	A
6650	130	1	A
7880	130	1	A
5000	130	1	A
8050	130	1	A
7280	130	5	B
9740	130	5	B
2390	130	5	B
5800	130	5	B
7190	130	5	B
4838	130	10	C
5916	130	10	C
6149	130	10	C
5669	130	10	C
6398	130	10	C
7050	110	1	A
7190	110	1	A
11190	110	1	A
8810	110	1	A
7125	110	10	B
7418	110	10	B
7340	110	10	B
7930	110	10	B
9250	110	10	B
7760	110	20	C
7000	110	20	C
7960	110	20	C
7570	110	20	C
7590	110	20	C
7740	100	1	A
7760	100	1	A
8670	100	1	A
6050	100	1	A
6450	100	1	A
7770	100	20	B
8380	100	20	B
6120	100	20	B
6020	100	20	B
6960	100	20	B
11010	100	40	C
7550	100	40	C
8350	100	40	C
9170	100	40	C
9380	100	40	C
6840	90	1	A
11260	90	1	A
10920	90	1	A
11040	90	1	A
9150	90	1	A
10960	90	50	B
9400	90	50	B
11120	90	50	B
8520	90	50	B
4970	90	50	B
9840	90	100	C
5720	90	100	C
7320	90	100	C
7920	90	100	C
10568	90	100	C
3800	80	1	A
7550	80	1	A
10380	80	1	A
8840	80	1	A
10580	80	1	A
9480	80	100	C
9080	80	100	C
9650	80	100	C
7940	80	100	C
11900	80	100	C
8110	80	200	C
11590	80	200	C
9150	80	200	C
8230	80	200	C
7480	80	200	C

