Hours	Event	Type
57.5	Failed	B6
77.8	Failed	B6
88.0	Failed	B6
96.9	Failed	B6
98.4	Failed	B6
100.3	Failed	B6
100.8	Failed	B6
102.1	Failed	B6
103.3	Failed	B6
103.4	Failed	B6
105.3	Failed	B6
105.4	Failed	B6
122.6	Failed	B6
139.3	Failed	B6
143.9	Failed	B6
148.0	Failed	B6
151.3	Failed	B6
161.1	Censored	B6
161.2	Censored	B6
161.2	Censored	B6
162.4	Censored	B6
162.7	Censored	B6
163.1	Censored	B6
176.8	Censored	B6
72.4	Failed	B7
78.6	Failed	B7
81.2	Failed	B7
94.0	Failed	B7
120.1	Failed	B7
126.3	Failed	B7
127.2	Failed	B7
128.7	Failed	B7
141.9	Failed	B7
164.1	Censored	B7
164.1	Censored	B7
164.1	Censored	B7
