Source Event Count Days Mode 
Field   Failed        1       89 Wear
Field Censored        1       46 Censored
Field Censored        1      251 Censored
Field Censored        1      293 Censored
Field Censored        1      192 Censored
Field Censored        1      242 Censored
Field   Failed        1      138 Wear
Field Censored        1      327 Censored
Field Censored        1      201 Censored
Field   Failed        1      245 Wear
Field   Failed        1      110 Wear
Field Censored        1      159 Censored
Field   Failed        1      133 Wear
Field Censored        1      191 Censored
Field Censored        1      218 Censored
Field   Failed        1      109 Wear
Field   Failed        1      140 Wear
Field Censored        1       13 Censored
Field   Failed        1      319 Wear
Field   Failed        1      230 Wear
Field   Failed        1      124 Wear
Field   Failed        1      193 Wear
Field   Failed        1      207 Wear
Field   Failed        1      175 Wear
Field   Failed        1      290 Wear
Field Censored        1      194 Censored
Field   Failed        1       87 Wear
Field   Failed        1      286 Wear
Field   Failed        1      236 Wear
Field   Failed        1      111 Wear
Field Censored        1      291 Censored
Field   Failed        1      213 Wear
Field Censored        1      236 Censored
Field Censored        1      290 Censored
Field Censored        1       87 Censored
Field Censored        1      214 Censored
Field Censored        1      287 Censored
Field   Failed        1      249 Wear
Field   Failed        1      111 Wear
Field   Failed        1       67 Wear
Field Censored        1      187 Censored
Field   Failed        1       62 Wear
Field Censored        1      187 Censored
Field   Failed        1      228 Wear
Field   Failed        1      136 Wear
Field Censored        1      207 Censored
Field   Failed        1       87 Wear
Field Censored        1      158 Censored
Field Censored        1      131 Censored
Field   Failed        1      192 Wear
Field   Failed        1      212 Wear
Field   Failed        1      293 Cracked
Field   Failed        1      152 Wear
Field   Failed        1      125 Wear
Field   Failed        1      284 Wear
Field Censored        1       26 Censored
Field   Failed        1       82 Wear
Field   Failed        1      132 Cracked
Field Censored        1      283 Censored
Field   Failed        1      158 Wear
Field   Failed        1      254 Wear
Field   Failed        1      207 Wear
Field   Failed        1      150 Wear
Field   Failed        1      284 Cracked
Field Censored       10      363 Censored
Field Censored       12      362 Censored
Field Censored       11      361 Censored
Field Censored        5      356 Censored
Field Censored       19      354 Censored
Field Censored       49      345 Censored
Field Censored       47      339 Censored
Field Censored        4      338 Censored
Field Censored       86      337 Censored
Field Censored        1      103 Censored
Field   Failed        1      261 Wear
Field Censored        1      133 Censored
Field Censored        1      107 Censored
Field   Failed        1      234 Wear
Field   Failed        1       76 Wear
Field   Failed        1      134 Wear
Field   Failed        1      113 Wear
Field Censored        1       76 Censored
Field   Failed        1      153 Wear
Field   Failed        1      140 Wear
Field Censored        1       22 Censored
Field   Failed        1      106 Wear
Field   Failed        1      105 Wear
Field   Failed        1      119 Wear
Field   Failed        1      163 Cracked
Field   Failed        1      270 Wear
Field   Failed        1      152 Cracked
Field   Failed        1      145 Wear
Field Censored        1      187 Censored
Field   Failed        1      251 Cracked
Field Censored        1      187 Censored
Field   Failed        1      224 Wear
Field   Failed        1       60 Wear
Field Censored        1      245 Censored
Field   Failed        1      255 Wear
Field Censored        1      229 Censored
Field   Failed        1      185 Wear
Field Censored        1       97 Censored
Field Censored        1       31 Censored
Field Censored        1       55 Censored
Field Censored        1       35 Censored
Field   Failed        1      133 Wear
Field Censored        1      215 Censored
Field Censored        1      123 Censored
Field   Failed        1      200 Wear
