hoursl  hoursu  event count celsius
24.0  24.0  L-censored  1 85
168.0 300.0 interval  1 85
500.0 750.0 interval  3 85
1000.0  1250.0  interval  1 85
1250.0  1500.0  interval  2 85
1500.0  1500.0  R-censored  32  85
24.0  24.0  L-censored  2 105
24.0  72.0  interval  1 105
72.0  168.0 interval  3 105
168.0 300.0 interval  2 105
300.0 500.0 interval  2 105
500.0 750.0 interval  4 105
750.0 1000.0  interval  5 105
1000.0  1250.0  interval  1 105
1250.0  1500.0  interval  4 105
1500.0  1500.0  R-censored  16  105
24.0  24.0  L-censored  5 125
24.0  72.0  interval  10  125
72.0  168.0 interval  13  125
168.0 300.0 interval  2 125
300.0  500.0  interval  3 125
500.0  750.0  interval  2 125
750.0 1000.0  interval  2 125
1000.0 1250.0  interval 1 125
1500.0 1500.0  R-censored 2 125
