Hours	Event	Count	Base	
12	Censored	39	Other
20	Censored	52	Other
30	Censored	46	Other
32	Failed	1	Other
50	Censored	31	Other
64	Failed	1	Other
85	Censored	48	Other
150	Censored	102	Other
153	Failed	1	Other
212	Failed	1	Other
250	Censored	158	Other
250	Censored	2	D
400	Censored	312	Other
550	Censored	101	Other
550	Censored	2	D
650	Censored	101	Other
650	Censored	2	D
708	Failed	1	D
750	Censored	100	Other
750	Censored	9	D
808	Failed	1	Other
828	Failed	1	D
850	Censored	100	Other
850	Censored	23	D
872	Failed	1	Other
884	Failed	2	D
950	Censored	56	Other
950	Censored	27	D
1013	Failed	1	D
1050	Censored	55	Other
1050	Censored	20	D
1082	Failed	1	D
1105	Failed	1	D
1150	Censored	56	Other
1150	Censored	22	D
1198	Failed	1	D
1249	Failed	1	D
1250	Censored	55	Other
1250	Censored	22	D
1251	Failed	1	D
1350	Censored	56	Other
1350	Censored	11	D
1405	Failed	1	Other
1428	Failed	1	Other
1450	Censored	53	Other
1450	Censored	11	D
1550	Censored	55	Other
1550	Censored	20	D
1568	Failed	1	Other
1650	Censored	55	Other
1650	Censored	8	D
1750	Censored	55	Other
1750	Censored	4	D
1850	Censored	55	Other
1850	Censored	2	D
1950	Censored	152	Other
1950	Censored	3	D
2050	Censored	152	Other
2050	Censored	3	D
2150	Censored	1	D
