Lower	Upper	Event	Count
1	1	Left	10
1	2	Interval	2
2	3	Interval	3
3	6	Interval	2
1	8	Interval	5
7	11	Interval	2
8	13	Interval	3
11	24	Interval	4
11	25	Interval	1
7	27	Interval	1
28	28	Censored	10
27	28	Interval	1
26	29	Interval	1
30	31	Interval	1
24	52	Interval	2
25	53	Interval	1
26	54	Interval	1
32	55	Interval	2
31	55	Interval	2
52	65	Interval	1
93	93	Censored	1
55	96	Interval	1
101	101	Censored	1
104	104	Censored	2
107	107	Censored	6
52	108	Interval	1
111	111	Censored	4
52	123	Interval	5
53	126	Interval	3
54	126	Interval	8
55	127	Interval	1
188	188	Censored	669
126	188	Interval	1
127	191	Interval	5
191	191	Censored	1048
126	191	Interval	1
192	192	Censored	460
126	192	Interval	3
