Engine	Days	Count	Event
869	568	1	Replacement
898	847	2	Replacement
809	870	2	Replacement
877	895	1	Replacement
888	899	1	Replacement
888	904	1	Replacement
826	910	1	Replacement
857	914	1	Replacement
898	927	1	Replacement
887	930	1	Replacement
896	942	1	Replacement
838	948	1	Replacement
882	949	1	Replacement
838	951	1	Replacement
890	970	1	Replacement
849	974	1	Replacement
901	975	1	Replacement
809	986	1	Replacement
813	986	2	Replacement
850	993	1	Replacement
841	997	1	Replacement
849	1020	1	Replacement
880	1031	1	Replacement
878	1037	1	Replacement
828	1038	1	Replacement
832	1046	1	Replacement
834	1049	1	Replacement
872	1054	1	Replacement
832	1055	1	Replacement
852	1058	2	Replacement
851	1074	1	Replacement
882	1075	1	Replacement
860	1086	1	Replacement
918	1089	1	Replacement
817	1098	1	Replacement
865	1098	1	Replacement
882	1098	1	Replacement
918	1101	1	Replacement
863	1101	1	Replacement
813	1107	1	Replacement
840	1121	2	Replacement
841	1121	1	Replacement
840	1129	1	Replacement
834	1130	1	Replacement
847	1131	1	Replacement
851	1135	2	Replacement
826	1152	1	Replacement
836	1155	1	Replacement
815	1156	1	Replacement
919	1159	1	Replacement
877	1165	1	Replacement
896	1172	1	Replacement
855	1173	1	Replacement
885	1181	1	Replacement
824	1185	2	Replacement
816	1188	3	Replacement
818	1188	2	Replacement
843	1191	1	Replacement
819	1192	3	Replacement
809	1193	1	Replacement
852	1194	1	Replacement
849	1194	1	Replacement
808	1197	1	Replacement
832	1214	2	Replacement
833	1217	1	Replacement
809	1229	1	Replacement
921	1236	1	Replacement
890	1242	1	Replacement
831	1250	1	Replacement
880	1258	1	Replacement
909	1259	1	Replacement
873	1262	2	Replacement
872	1262	1	Replacement
873	1262	1	Replacement
831	1263	1	Replacement
811	1264	1	Replacement
830	1267	2	Replacement
831	1268	1	Replacement
914	1285	1	Replacement
918	1285	1	Replacement
820	1289	1	Replacement
832	1292	2	Replacement
808	1293	1	Replacement
841	1302	1	Replacement
853	1302	1	Replacement
841	1302	1	Replacement
853	1302	1	Replacement
920	1311	2	Replacement
852	1319	1	Replacement
888	1322	2	Replacement
843	1324	1	Replacement
874	1328	1	Replacement
891	1331	1	Replacement
871	1332	1	Replacement
839	1336	2	Replacement
852	1354	1	Replacement
885	1357	2	Replacement
818	1359	2	Replacement
864	1365	1	Replacement
824	1366	2	Replacement
893	1368	1	Replacement
815	1369	1	Replacement
857	1369	1	Replacement
851	1376	3	Replacement
827	1376	3	Replacement
850	1377	1	Replacement
864	1386	2	Replacement
836	1392	2	Replacement
841	1397	1	Replacement
877	1401	3	Replacement
828	1403	2	Replacement
854	1407	1	Replacement
852	1410	1	Replacement
862	1412	1	Replacement
865	1414	1	Replacement
864	1424	1	Replacement
890	1429	1	Replacement
859	1433	1	Replacement
876	1437	1	Replacement
838	1444	1	Replacement
847	1447	1	Replacement
817	1455	1	Replacement
818	1457	1	Replacement
826	1461	6	Replacement
813	1468	2	Replacement
808	1471	1	Replacement
875	1472	2	Replacement
860	1478	1	Replacement
816	1480	1	Replacement
915	1481	1	Replacement
863	1493	2	Replacement
871	1496	1	Replacement
831	1505	1	Replacement
844	1511	1	Replacement
925	1511	0	End
924	1511	0	End
923	1511	0	End
922	1511	0	End
823	1517	2	Replacement
920	1517	0	End
918	1517	0	End
916	1517	0	End
921	1517	0	End
917	1517	0	End
914	1521	0	End
913	1521	0	End
912	1521	0	End
915	1521	0	End
910	1521	0	End
908	1522	0	End
911	1522	0	End
919	1522	0	End
909	1522	0	End
907	1522	0	End
876	1530	1	Replacement
867	1531	1	Replacement
850	1535	4	Replacement
904	1535	0	End
901	1535	0	End
906	1535	0	End
905	1535	0	End
903	1535	0	End
900	1536	0	End
902	1536	0	End
899	1536	0	End
881	1536	0	End
895	1542	0	End
894	1542	0	End
882	1542	0	End
896	1542	0	End
897	1542	0	End
898	1542	0	End
892	1546	0	End
891	1546	0	End
893	1546	0	End
890	1546	0	End
841	1562	1	Replacement
834	1566	3	Replacement
887	1568	0	End
888	1568	0	End
889	1568	0	End
884	1568	0	End
886	1568	0	End
885	1568	0	End
883	1568	0	End
834	1577	2	Replacement
840	1579	1	Replacement
837	1581	2	Replacement
842	1584	3	Replacement
810	1593	1	Replacement
832	1596	1	Replacement
880	1615	0	End
878	1615	0	End
873	1615	0	End
879	1615	0	End
850	1616	2	Replacement
874	1616	0	End
875	1616	0	End
876	1616	0	End
877	1616	0	End
840	1621	1	Replacement
872	1624	0	End
871	1624	0	End
870	1625	0	End
851	1625	0	End
868	1625	0	End
869	1625	0	End
857	1625	0	End
815	1630	1	Replacement
863	1630	0	End
865	1630	0	End
867	1630	0	End
864	1630	0	End
866	1630	0	End
860	1639	0	End
862	1639	0	End
841	1639	0	End
858	1639	0	End
850	1639	0	End
812	1640	1	Replacement
859	1640	0	End
849	1640	0	End
848	1640	0	End
855	1640	0	End
856	1640	0	End
861	1640	0	End
846	1641	0	End
852	1641	0	End
853	1641	0	End
854	1641	0	End
816	1643	1	Replacement
840	1653	1	Replacement
836	1659	1	Replacement
816	1664	1	Replacement
809	1676	1	Replacement
845	1681	0	End
829	1681	0	End
847	1681	0	End
838	1681	0	End
