Powerdrop	Device	Hours	celsius
0.000000	101	0	150
-0.016950	101	125	150
-0.026420	101	250	150
-0.034620	101	375	150
-0.046270	101	500	150
-0.054810	101	625	150
-0.067030	101	750	150
-0.084560	101	875	150
-0.102310	101	1000	150
-0.123270	101	1125	150
-0.140510	101	1250	150
-0.159230	101	1375	150
-0.177250	101	1500	150
-0.187740	101	1625	150
-0.205090	101	1750	150
-0.219360	101	1875	150
-0.232510	101	2000	150
-0.246850	101	2125	150
-0.257990	101	2250	150
-0.268830	101	2375	150
-0.282400	101	2500	150
-0.294680	101	2625	150
-0.307980	101	2750	150
-0.327450	101	2875	150
-0.336780	101	3000	150
-0.343710	101	3125	150
-0.363400	101	3250	150
-0.376680	101	3375	150
-0.388000	101	3500	150
-0.398330	101	3625	150
-0.409940	101	3750	150
-0.414890	101	3875	150
-0.421400	101	4000	150
0.000000	102	0	150
-0.015610	102	125	150
-0.023300	102	250	150
-0.029860	102	375	150
-0.043170	102	500	150
-0.053320	102	625	150
-0.058230	102	750	150
-0.072250	102	875	150
-0.083960	102	1000	150
-0.090800	102	1125	150
-0.099200	102	1250	150
-0.112970	102	1375	150
-0.121330	102	1500	150
-0.130960	102	1625	150
-0.137650	102	1750	150
-0.145320	102	1875	150
-0.151540	102	2000	150
-0.160840	102	2125	150
-0.175740	102	2250	150
-0.182930	102	2375	150
-0.195170	102	2500	150
-0.205990	102	2625	150
-0.212170	102	2750	150
-0.225480	102	2875	150
-0.236350	102	3000	150
-0.246780	102	3125	150
-0.255410	102	3250	150
-0.265150	102	3375	150
-0.287470	102	3500	150
-0.294130	102	3625	150
-0.306090	102	3750	150
-0.313850	102	3875	150
-0.331530	102	4000	150
0.000000	103	0	150
-0.007519	103	125	150
-0.016651	103	250	150
-0.028530	103	375	150
-0.037004	103	500	150
-0.043235	103	625	150
-0.052087	103	750	150
-0.062520	103	875	150
-0.073492	103	1000	150
-0.081000	103	1125	150
-0.090028	103	1250	150
-0.112290	103	1375	150
-0.120632	103	1500	150
-0.129960	103	1625	150
-0.145035	103	1750	150
-0.156301	103	1875	150
-0.165566	103	2000	150
-0.172689	103	2125	150
-0.181161	103	2250	150
-0.186464	103	2375	150
-0.197439	103	2500	150
-0.207583	103	2625	150
-0.215660	103	2750	150
-0.222900	103	2875	150
-0.229876	103	3000	150
-0.237961	103	3125	150
-0.242438	103	3250	150
-0.246376	103	3375	150
-0.255717	103	3500	150
-0.272772	103	3625	150
-0.282210	103	3750	150
-0.293093	103	3875	150
-0.300563	103	4000	150
0.000000	104	0	150
-0.029770	104	125	150
-0.050580	104	250	150
-0.059350	104	375	150
-0.077300	104	500	150
-0.086430	104	625	150
-0.115840	104	750	150
-0.129540	104	875	150
-0.144770	104	1000	150
-0.171620	104	1125	150
-0.190500	104	1250	150
-0.198690	104	1375	150
-0.209720	104	1500	150
-0.226840	104	1625	150
-0.252560	104	1750	150
-0.263930	104	1875	150
-0.279170	104	2000	150
-0.292380	104	2125	150
-0.301940	104	2250	150
-0.321830	104	2375	150
-0.333860	104	2500	150
