celsius kilohours event count
80 3 Censored 10
125 3 Censored 10
150 2.35 Failure 1
150 2.56 Failure 1
150 2.98 Failure 1
150 3 Censored 7
175 0.8 Failure 1
175 1.13 Failure 1
175 1.21 Failure 1
175 1.31 Failure 1
175 1.35 Failure 1
175 1.35 Failure 1
175 1.37 Failure 1
175 1.42 Failure 1
175 1.77 Failure 1
175 1.96 Failure 1
200 0.22 Failure 1
200 0.25 Failure 1
200 0.28 Failure 1
200 0.33 Failure 1
200 0.37 Failure 1
200 0.38 Failure 1
200 0.46 Failure 1
200 0.46 Failure 1
200 0.51 Failure 1
200 0.61 Failure 1
