Weeks CauseOfFailure.FM1 CauseOfFailure.FM2 CauseOfFailure.FM3 CauseOfFailure.FMOther WeeksInserted WeeksReturned
29.40508206 0 0 0 0 40.59491794 NA
47.73651844 0 0 0 0 22.26348156 NA
36.18390487 0 0 0 0 33.81609513 NA
50.98149589 0 0 0 0 19.01850411 NA
37.04598876 0 0 0 0 32.95401124 NA
37.5410421 0 0 0 0 32.4589579 NA
61.60258442 0 0 0 0 8.397415583 NA
43.73347628 0 0 0 0 26.26652372 NA
61.17886227 0 0 0 0 8.821137727 NA
67.13310705 0 0 0 0 2.866892947 NA
23.07414302 0 0 0 0 46.92585698 NA
41.37381413 0 0 0 0 28.62618587 NA
41.88652911 0 0 0 0 28.11347089 NA
65.31257122 0 0 0 0 4.687428777 NA
35.3704791 0 0 0 0 34.6295209 NA
53.00569651 0 0 0 0 16.99430349 NA
43.92467718 0 0 0 0 26.07532282 NA
41.88527103 0 0 0 0 28.11472897 NA
29.70440732 0 0 0 0 40.29559268 NA
0.000906369 0 0 1 0 45.66363242 45.66453879
51.55605067 0 1 0 0 6.891277176 58.44732785
47.49194818 0 0 0 0 22.50805182 NA
30.73425415 0 0 0 0 39.26574585 NA
69.55467203 0 0 0 0 0.445327966 NA
32.06936993 0 0 0 0 37.93063007 NA
24.55192457 0 0 0 0 45.44807543 NA
0.069649232 0 0 1 0 38.9162258 38.98587503
52.88711462 0 0 0 0 17.11288538 NA
0.507957988 0 0 1 0 41.80726665 42.31522464
59.90863991 0 0 0 0 10.09136009 NA
46.56376447 0 0 0 0 23.43623553 NA
58.00689945 0 0 0 0 11.99310055 NA
69.03051894 0 0 0 0 0.969481061 NA
69.83180774 0 0 0 0 0.168192259 NA
65.47665041 0 0 0 0 4.523349588 NA
24.91342893 0 0 0 0 45.08657107 NA
30.14801416 0 0 0 0 39.85198584 NA
45.74583071 0 0 0 0 24.25416929 NA
33.37591262 0 0 0 0 36.62408738 NA
68.25368501 0 0 0 0 1.746314985 NA
62.84207276 0 0 0 0 7.157927239 NA
28.89550057 0 0 0 0 41.10449943 NA
20.73895297 0 0 0 0 49.26104703 NA
36.13419014 0 0 0 0 33.86580986 NA
47.64750395 0 0 0 0 22.35249605 NA
55.90404004 0 0 0 0 14.09595996 NA
60.65584418 0 0 0 0 9.344155819 NA
64.98545169 0 0 0 0 5.014548311 NA
53.50985316 0 0 0 0 16.49014684 NA
38.2219664 0 0 0 0 31.7780336 NA
21.6243908 0 0 0 0 48.3756092 NA
60.71829217 0 0 0 0 9.281707834 NA
3.907453793 0 0 1 0 47.02157998 50.92903377
31.37333289 0 0 0 0 38.62666711 NA
0.287240437 0 0 1 0 39.82590537 40.11314581
60.6351584 0 0 0 0 9.364841599 NA
54.40225717 0 0 0 0 15.59774283 NA
31.35038557 0 0 0 0 38.64961443 NA
65.94986268 0 0 0 0 4.050137324 NA
31.3371997 0 0 0 0 38.6628003 NA
24.73156603 0 0 0 0 45.26843397 NA
7.88542674 0 1 0 0 38.62947725 46.51490399
65.5936823 0 0 0 0 4.406317696 NA
23.33436779 0 0 0 0 46.66563221 NA
36.23625937 0 0 0 0 33.76374063 NA
36.11370196 0 0 0 0 33.88629804 NA
20.84171982 0 0 0 0 49.15828018 NA
50.91882792 0 0 0 0 19.08117208 NA
39.46078124 0 0 0 0 30.53921876 NA
32.24264535 0 0 0 0 37.75735465 NA
60.02247807 0 0 0 0 9.977521934 NA
47.06335078 0 0 0 0 22.93664922 NA
44.45532399 0 0 0 0 25.54467601 NA
37.64072885 0 0 0 0 32.35927115 NA
45.65433332 0 0 0 0 24.34566668 NA
56.53736357 0 0 0 0 13.46263643 NA
35.35732649 0 0 0 0 34.64267351 NA
43.53603859 0 0 0 0 26.46396141 NA
57.97592187 0 0 0 0 12.02407813 NA
62.04915209 0 0 0 0 7.95084791 NA
33.66512303 0 0 0 0 36.33487697 NA
11.84606928 0 0 0 1 29.39127071 41.23733999
43.40378119 0 0 0 0 26.59621881 NA
34.07898098 0 0 0 0 35.92101902 NA
27.43338275 1 0 0 0 2.687230497 30.12061325
66.47952882 0 0 0 0 3.520471184 NA
25.19698196 0 0 0 0 44.80301804 NA
24.4938705 0 0 0 0 45.5061295 NA
35.18294138 0 0 0 0 34.81705862 NA
36.62878729 0 0 0 0 33.37121271 NA
54.56599435 0 0 0 0 15.43400565 NA
20.0664901 0 0 0 0 49.9335099 NA
27.67865853 0 0 0 0 42.32134147 NA
52.51867804 0 0 0 0 17.48132196 NA
20.29697338 0 0 0 0 49.70302662 NA
27.73624543 0 0 0 0 42.26375457 NA
28.54556151 0 0 0 0 41.45443849 NA
42.26192361 0 0 0 0 27.73807639 NA
35.44383434 0 0 0 0 34.55616566 NA
32.44313786 0 0 0 0 37.55686214 NA
26.48530483 0 0 0 0 43.51469517 NA
50.28428912 0 0 0 0 19.71571088 NA
23.12811428 0 0 0 0 46.87188572 NA
40.26412516 0 0 0 0 29.73587484 NA
41.06928945 0 0 0 0 28.93071055 NA
66.68869949 0 0 0 0 3.311300511 NA
46.01365711 0 0 0 0 23.98634289 NA
33.86893969 0 0 0 0 36.13106031 NA
29.3127166 0 0 0 0 40.6872834 NA
67.68715003 0 0 0 0 2.312849974 NA
65.27720837 0 0 0 0 4.722791631 NA
27.84310417 0 0 0 0 42.15689583 NA
35.11777076 0 0 0 0 34.88222924 NA
22.00599916 0 0 0 0 47.99400084 NA
44.86617725 0 0 0 0 25.13382275 NA
40.38867944 0 0 0 0 29.61132056 NA
