Kilocycles Event Count
2 Survived 3
4 Survived 3
6 Survived 2
6 Failed 1
8 Survived 3
10 Survived 1
12 Failed 1
12 Survived 9
14 Survived 5
16 Survived 7
18 Survived 4
20 Survived 4
22 Survived 5
24 Survived 5
26 Failed 1
26 Survived 5
28 Failed 1
28 Survived 5
30 Failed 1
30 Survived 4
32 Survived 4
34 Survived 2
36 Survived 2
38 Survived 2
40 Survived 2
42 Survived 1
44 Survived 6
46 Survived 2
48 Survived 1
50 Failed 1
50 Survived 3
54 Survived 2
56 Survived 1
58 Survived 1
64 Failed 1
66 Survived 1
76 Survived 1
78 Survived 2
