Rate	Disk	Hours	Celsius
0.621	1.000	0.000	80.000
0.663	1.000	500.000	80.000
1.200	1.000	1000.000	80.000
1.260	1.000	1500.000	80.000
1.210	1.000	2000.000	80.000
0.624	2.000	0.000	80.000
0.660	2.000	500.000	80.000
0.733	2.000	1000.000	80.000
1.010	2.000	1500.000	80.000
1.840	2.000	2000.000	80.000
0.526	3.000	0.000	80.000
0.562	3.000	500.000	80.000
0.630	3.000	1000.000	80.000
0.841	3.000	1500.000	80.000
0.862	3.000	2000.000	80.000
0.444	4.000	0.000	80.000
0.542	4.000	500.000	80.000
0.573	4.000	1000.000	80.000
0.815	4.000	1500.000	80.000
0.903	4.000	2000.000	80.000
1.330	5.000	0.000	80.000
1.430	5.000	500.000	80.000
1.430	5.000	1000.000	80.000
1.590	5.000	1500.000	80.000
1.750	5.000	2000.000	80.000
0.414	6.000	0.000	80.000
0.456	6.000	500.000	80.000
0.446	6.000	1000.000	80.000
0.606	6.000	1500.000	80.000
0.759	6.000	2000.000	80.000
0.435	7.000	0.000	80.000
0.483	7.000	500.000	80.000
0.541	7.000	1000.000	80.000
0.525	7.000	1500.000	80.000
0.615	7.000	2000.000	80.000
0.313	8.000	0.000	80.000
0.382	8.000	500.000	80.000
0.451	8.000	1000.000	80.000
0.515	8.000	1500.000	80.000
0.695	8.000	2000.000	80.000
0.824	9.000	0.000	80.000
0.637	9.000	500.000	80.000
0.806	9.000	1000.000	80.000
1.220	9.000	1500.000	80.000
1.450	9.000	2000.000	80.000
0.499	10.000	0.000	80.000
0.642	10.000	500.000	80.000
0.669	10.000	1000.000	80.000
1.220	10.000	1500.000	80.000
1.080	10.000	2000.000	80.000
0.467	11.000	0.000	80.000
0.568	11.000	500.000	80.000
0.690	11.000	1000.000	80.000
0.716	11.000	1500.000	80.000
0.844	11.000	2000.000	80.000
0.536	12.000	0.000	80.000
0.626	12.000	500.000	80.000
0.658	12.000	1000.000	80.000
0.759	12.000	1500.000	80.000
0.870	12.000	2000.000	80.000
0.865	13.000	0.000	80.000
0.934	13.000	500.000	80.000
1.050	13.000	1000.000	80.000
1.130	13.000	1500.000	80.000
1.250	13.000	2000.000	80.000
0.398	14.000	0.000	80.000
0.462	14.000	500.000	80.000
0.557	14.000	1000.000	80.000
0.615	14.000	1500.000	80.000
0.737	14.000	2000.000	80.000
0.430	15.000	0.000	80.000
0.499	15.000	500.000	80.000
0.546	15.000	1000.000	80.000
0.610	15.000	1500.000	80.000
0.669	15.000	2000.000	80.000
0.308	16.000	0.000	80.000
0.324	16.000	500.000	80.000
0.371	16.000	1000.000	80.000
0.493	16.000	1500.000	80.000
0.658	16.000	2000.000	80.000
