SPEC	DOSAGE	DAMAGE
G1-10	514.98	0
G1-10	1183.86	0
G1-10	5523.91	-0.085
G1-10	6210.43	-0.183
G1-10	6512.57	-0.208
G1-10	7738.54	-0.232
G1-10	8602.21	-0.256
G1-10	9105.35	-0.276
G1-10	9827.11	-0.288
G1-10	12886.91	-0.319
G1-10	13437.44	-0.35
G1-10	14138.79	-0.356
G1-10	14580.62	-0.363
G1-10	15219.77	-0.368
G1-10	15462.34	-0.368
G1-10	15733.81	-0.365
G1-10	16064.16	-0.368
G1-10	16498.38	-0.375
G1-10	16866.42	-0.38
G1-10	17437.59	-0.387
G1-10	17649.05	-0.39
G1-10	18146.64	-0.396
G1-10	18495.03	-0.405
G1-10	18720.58	-0.41
G1-10	18915.97	-0.421
G1-10	19053.94	-0.444
G1-10	19348.45	-0.461
G1-10	19556.76	-0.471
G11-10	526.23	-0.003
G11-10	937.72	-0.016
G11-10	1077.24	-0.027
G11-10	1785.65	-0.048
G11-10	2367.35	-0.077
G11-10	2742.16	-0.095
G11-10	3259.77	-0.116
G11-10	3841.74	-0.135
G11-10	5796.25	-0.183
G11-10	6384.97	-0.239
G11-10	7644.96	-0.266
G11-10	8565.3	-0.297
G11-10	9263.51	-0.332
G11-10	9783.99	-0.357
G11-10	9963.51	-0.367
G11-10	10296.64	-0.377
G11-10	11128.86	-0.388
G11-10	11269.21	-0.384
G11-10	11709.23	-0.38
G11-10	12598.41	-0.396
G11-10	12945.9	-0.415
G11-10	13479.6	-0.435
G11OUT-10	996.84	-0.017
G11OUT-10	1521.05	-0.038
G11OUT-10	1932.89	-0.045
G11OUT-10	2074.14	-0.053
G11OUT-10	2792.06	-0.067
G11OUT-10	3385.85	-0.085
G11OUT-10	3771.87	-0.097
G11OUT-10	4301.23	-0.103
G11OUT-10	4880.78	-0.109
G11OUT-10	6927.56	-0.154
G11OUT-10	7556.58	-0.208
G11OUT-10	8921.7	-0.233
G11OUT-10	9933.45	-0.266
G11OUT-10	10703.68	-0.309
G11OUT-10	11279.47	-0.343
G11OUT-10	11478.96	-0.365
G11OUT-10	11847.24	-0.387
G11OUT-8	533.06	-0.014
G11OUT-8	813.57	-0.032
G11OUT-8	1034.28	-0.043
G11OUT-8	1108.5	-0.053
G11OUT-8	1484.71	-0.067
G11OUT-8	1793.39	-0.09
G11OUT-8	1993.32	-0.107
G11OUT-8	2268.51	-0.12
G11OUT-8	2570.95	-0.128
G11OUT-8	3646.85	-0.164
