Hours	Event	Count
450.000	Fail	1.000
460.000	Censored	1.000
1150.000	Fail	2.000
1560.000	Censored	1.000
1600.000	Fail	1.000
1660.000	Censored	1.000
1850.000	Censored	5.000
2030.000	Censored	3.000
2070.000	Fail	2.000
2080.000	Fail	1.000
2200.000	Censored	1.000
3000.000	Censored	4.000
3100.000	Fail	1.000
3200.000	Censored	1.000
3450.000	Fail	1.000
3750.000	Censored	2.000
4150.000	Censored	4.000
4300.000	Censored	4.000
4600.000	Fail	1.000
4850.000	Censored	4.000
5000.000	Censored	3.000
6100.000	Censored	3.000
6100.000	Fail	1.000
6300.000	Censored	1.000
6450.000	Censored	2.000
6700.000	Censored	1.000
7450.000	Censored	1.000
7800.000	Censored	2.000
8100.000	Censored	2.000
8200.000	Censored	1.000
8500.000	Censored	3.000
8750.000	Censored	2.000
8750.000	Fail	1.000
9400.000	Censored	1.000
9900.000	Censored	1.000
10100.000	Censored	3.000
11500.000	Censored	1.000

