Increase	Unit	Hours
0.0000	101.0000	0.0000
0.4741	101.0000	250.0000
0.9255	101.0000	500.0000
2.1147	101.0000	750.0000
2.7168	101.0000	1000.0000
3.5110	101.0000	1250.0000
4.3415	101.0000	1500.0000
4.9076	101.0000	1750.0000
5.4782	101.0000	2000.0000
5.9925	101.0000	2250.0000
6.7224	101.0000	2500.0000
7.1303	101.0000	2750.0000
8.0006	101.0000	3000.0000
8.9193	101.0000	3250.0000
9.4940	101.0000	3500.0000
9.8675	101.0000	3750.0000
10.9446	101.0000	4000.0000
0.0000	102.0000	0.0000
0.7078	102.0000	250.0000
1.2175	102.0000	500.0000
1.8955	102.0000	750.0000
2.2954	102.0000	1000.0000
2.8650	102.0000	1250.0000
3.7454	102.0000	1500.0000
4.4192	102.0000	1750.0000
4.9894	102.0000	2000.0000
5.5148	102.0000	2250.0000
6.0668	102.0000	2500.0000
6.6385	102.0000	2750.0000
7.1615	102.0000	3000.0000
7.7778	102.0000	3250.0000
8.4242	102.0000	3500.0000
8.9092	102.0000	3750.0000
9.2834	102.0000	4000.0000
0.0000	103.0000	0.0000
0.7074	103.0000	250.0000
1.1651	103.0000	500.0000
1.7253	103.0000	750.0000
1.9888	103.0000	1000.0000
2.5325	103.0000	1250.0000
2.9695	103.0000	1500.0000
3.2977	103.0000	1750.0000
3.9354	103.0000	2000.0000
4.1613	103.0000	2250.0000
4.4459	103.0000	2500.0000
4.8890	103.0000	2750.0000
5.2696	103.0000	3000.0000
5.6913	103.0000	3250.0000
6.0216	103.0000	3500.0000
6.4485	103.0000	3750.0000
6.8849	103.0000	4000.0000
0.0000	104.0000	0.0000
0.3634	104.0000	250.0000
0.6161	104.0000	500.0000
1.3597	104.0000	750.0000
1.9525	104.0000	1000.0000
2.2995	104.0000	1250.0000
2.9468	104.0000	1500.0000
3.3871	104.0000	1750.0000
3.7863	104.0000	2000.0000
4.1116	104.0000	2250.0000
4.5013	104.0000	2500.0000
4.7209	104.0000	2750.0000
4.9766	104.0000	3000.0000
5.2812	104.0000	3250.0000
5.6150	104.0000	3500.0000
5.9503	104.0000	3750.0000
6.1438	104.0000	4000.0000
0.0000	105.0000	0.0000
0.2707	105.0000	250.0000
0.6144	105.0000	500.0000
1.1093	105.0000	750.0000
1.7730	105.0000	1000.0000
2.0625	105.0000	1250.0000
2.5835	105.0000	1500.0000
2.9863	105.0000	1750.0000
3.3765	105.0000	2000.0000
4.0491	105.0000	2250.0000
4.6260	105.0000	2500.0000
5.2370	105.0000	2750.0000
5.6191	105.0000	3000.0000
