Lower Upper   Event   Count   Celsius
 788   788         Censored        1       150
2304  2304         Censored       49       150
 788   788         Censored        1       175
2304  2304         Censored       49       175
 788   788         Censored        1       200
2304  2304         Censored       49       200
 384   788         Interval        1       250
 788   788         Censored        1       250
1536  2304         Interval        6       250
2304  2304         Censored       42       250
  96   192         Interval        1       300
 192   384         Interval        6       300
 384   788         Interval       20       300
 384   384         Censored        2       300
 788  1536         Interval       16       300
1536  1536         Censored        5       300
