Weeks	Celsius	Volts	Units	
1.0	180.0		15.0	1000
1.0	180.0		17.0	1000
1.0	180.0		15.5	1000
1.0	180.0		16.5	1000
1.0	225.0		15.5	1000
1.0	225.0		15.0	1000
1.0	225.0		16.0	1000
1.0	225.0		14.5	1000
1.0	250.0		15.0	1000
1.0	250.0		14.5	1000
1.0	250.0		12.5	1000
1.0	250.0		11.0	1000
1.0	275.0		14.0	1000
1.0	275.0		13.0	1000
1.0	275.0		14.0	1000
1.0	275.0		11.5	1000
2.0	180.0		14.0	1000
2.0	180.0		16.0	1000
2.0	180.0		13.0	1000
2.0	180.0		13.5	1000
2.0	225.0		13.0	1000
2.0	225.0		13.5	1000
2.0	225.0		12.5	1000
2.0	225.0		12.5	1000
2.0	250.0		12.5	1000
2.0	250.0		12.0	1000
2.0	250.0		11.5	1000
2.0	250.0		12.0	1000
2.0	275.0		13.0	1000
2.0	275.0		11.5	1000
2.0	275.0		13.0	1000
2.0	275.0		12.5	1000
4.0	180.0		13.5	1000
4.0	180.0		17.5	1000
4.0	180.0		17.5	1000
4.0	180.0		13.5	1000
4.0	225.0		12.5	1000
4.0	225.0		12.5	1000
4.0	225.0		15.0	1000
4.0	225.0		13.0	1000
4.0	250.0		12.0	1000
4.0	250.0		13.0	1000
4.0	250.0		12.0	1000
4.0	250.0		13.5	1000
4.0	275.0		10.0	1000
4.0	275.0		11.5	1000
4.0	275.0		11.0	1000
4.0	275.0		9.5	1000
8.0	180.0		15.0	1000
8.0	180.0		15.0	1000
8.0	180.0		15.5	1000
8.0	180.0		16.0	1000
8.0	225.0		13.0	1000
8.0	225.0		10.5	1000
8.0	225.0		13.5	1000
8.0	225.0		14.0	1000
8.0	250.0		12.5	1000
8.0	250.0		12.0	1000
8.0	250.0		11.5	1000
8.0	250.0		11.5	1000
8.0	275.0		6.5	1000
8.0	275.0		5.5	1000
8.0	275.0		6.0	1000
8.0	275.0		6.0	1000
16.0	180.0		18.5	1000
16.0	180.0		17.0	1000
16.0	180.0		15.3	1000
16.0	180.0		16.0	1000
16.0	225.0		13.0	1000
16.0	225.0		14.0	1000
16.0	225.0		12.5	1000
16.0	225.0		11.0	1000
16.0	250.0		12.0	1000
16.0	250.0		12.0	1000
16.0	250.0		11.5	1000
16.0	250.0		12.0	1000
16.0	275.0		6.0	1000
16.0	275.0		6.0	1000
16.0	275.0		5.0	1000
16.0	275.0		5.5	1000
32.0	180.0		12.5	1000
32.0	180.0		13.0	1000
32.0	180.0		16.0	1000
32.0	180.0		12.0	1000
32.0	225.0		11.0	1000
32.0	225.0		9.5	1000
32.0	225.0		11.0	1000
32.0	225.0		11.0	1000
32.0	250.0		11.0	1000
32.0	250.0		10.0	1000
32.0	250.0		10.5	1000
32.0	250.0		10.5	1000
32.0	275.0		2.7	1000
32.0	275.0		2.7	1000
32.0	275.0		2.5	1000
32.0	275.0		2.4	1000
48.0	180.0		13.0	1000
48.0	180.0		13.5	1000
48.0	180.0		16.5	1000
48.0	180.0		13.6	1000
48.0	225.0		11.5	1000
48.0	225.0		10.5	1000
48.0	225.0		13.5	1000
48.0	225.0		12.0	1000
48.0	250.0		7.0	1000
48.0	250.0		6.9	1000
48.0	250.0		8.8	1000
48.0	250.0		7.9	1000
48.0	275.0		1.2	1000
48.0	275.0		1.5	1000
48.0	275.0		1.0	1000
48.0	275.0		1.5	1000
64.0	180.0		13.0	1000
64.0	180.0		12.5	1000
64.0	180.0		16.5	1000
64.0	180.0		16.0	1000
64.0	225.0		11.0	1000
64.0	225.0		11.5	1000
64.0	225.0		10.5	1000
64.0	225.0		10.0	1000
64.0	250.0		7.3	1000
64.0	250.0		7.5	1000
64.0	250.0		6.7	1000
64.0	250.0		7.6	1000
64.0	275.0		1.5	1000
64.0	275.0		1.0	1000
64.0	275.0		1.2	1000
64.0	275.0		1.2	1000
