MPa	Kilocycles	Event
380	34.2	Failed
380	37.7	Failed
380	42.0	Failed
380	42.3	Failed
380	48.2	Failed
380	52.5	Failed
380	55.9	Failed
380	58.3	Failed
380	61.7	Failed
380	64.7	Failed
380	65.0	Failed
380	65.5	Failed
380	70.4	Failed
380	71.0	Failed
380	72.4	Failed
380	75.2	Failed
380	77.4	Failed
380	77.8	Failed
380	87.8	Failed
380	93.4	Failed
380	94.0	Failed
380	97.2	Failed
380	99.6	Failed
380	116.7	Failed
380	122.5	Failed
340	125.5	Failed
340	156.9	Failed
340	173.6	Failed
340	176.9	Failed
340	179.4	Failed
340	188.5	Failed
340	195.1	Failed
340	208.1	Failed
340	211.9	Failed
340	224.1	Failed
340	226.0	Failed
340	253.0	Failed
340	255.5	Failed
340	259.0	Failed
340	274.0	Failed
340	292.0	Failed
340	300.4	Failed
340	302.3	Failed
340	308.3	Failed
340	406.3	Failed
340	420.7	Failed
340	428.5	Failed
340	664.8	Failed
340	776.1	Failed
340	793.9	Failed
300	954.0	Failed
300	959.4	Failed
300	1194.6	Failed
300	1240.5	Failed
300	1250.4	Failed
300	1285.5	Failed
300	1410.5	Failed
300	1495.1	Failed
300	1518.7	Failed
300	1544.7	Failed
300	1551.4	Failed
300	1585.9	Failed
300	1639.1	Failed
300	1683.7	Failed
300	1926.1	Failed
300	2011.3	Failed
300	2171.8	Failed
300	2391.5	Failed
300	2569.4	Failed
300	2674.9	Failed
300	2921.7	Failed
300	3046.5	Failed
300	3105.5	Failed
300	3523.2	Failed
300	4311.7	Failed
280	2604.2	Failed
280	2610.7	Failed
280	2773.4	Failed
280	3093.2	Failed
280	4270.2	Failed
280	5993.8	Failed
280	6460.5	Failed
280	7430.0	Failed
280	8105.0	Failed
280	8497.6	Failed
280	8594.7	Failed
280	8630.4	Failed
280	8816.0	Failed
280	8820.3	Failed
280	9013.4	Failed
280	10124.8	Failed
280	10163.7	Failed
280	11144.0	Failed
280	12469.8	Failed
280	13232.9	Failed
280	13813.4	Failed
280	15338.4	Failed
280	16040.7	Failed
280	20172.3	Censored
280	20707.1	Censored
270	5163.1	Failed
270	5269.9	Failed
270	7863.8	Failed
270	8188.5	Failed
270	9488.6	Failed
270	10171.8	Failed
270	10794.2	Failed
270	11556.2	Failed
270	12161.5	Failed
270	13314.0	Failed
270	15857.2	Failed
270	15996.3	Failed
270	17274.7	Failed
270	18804.0	Failed
270	19514.5	Failed
270	19736.5	Failed
270	20354.5	Failed
270	20504.7	Censored
270	20532.3	Censored
270	20532.3	Censored
270	20536.1	Censored
270	20538.2	Censored
270	20555.0	Censored
270	20779.4	Censored
270	20916.3	Censored



