Kilomiles	Event	Count
22.5	Failed	1
37.5	Failed	1
46.0	Failed	1
48.5	Failed	1
51.5	Failed	1
53.0	Failed	1
54.5	Failed	1
57.5	Failed	1
66.5	Failed	1
68.0	Failed	1
69.5	Failed	1
76.5	Failed	1
77.0	Failed	1
78.5	Failed	1
80.0	Failed	1
81.5	Failed	1
82.0	Failed	1
83.0	Failed	1
84.0	Failed	1
91.5	Failed	1
93.5	Failed	1
102.5	Failed	1
107.0	Failed	1
108.5	Failed	1
112.5	Failed	1
113.5	Failed	1
116.0	Failed	1
117.0	Failed	1
118.5	Failed	1
119.0	Failed	1
120.0	Failed	1
122.5	Failed	1
123.0	Failed	1
127.5	Failed	1
131.0	Failed	1
132.5	Failed	1
134.0	Failed	1
135.0	Survived	59
