Microns	Unit	Cycles	Grams
3.168	101.000	2.000	10.000
4.063	101.000	5.000	10.000
4.453	101.000	10.000	10.000
4.744	101.000	20.000	10.000
5.838	101.000	50.000	10.000
6.786	101.000	100.000	10.000
7.737	101.000	200.000	10.000
9.593	101.000	500.000	10.000
2.727	102.000	2.000	10.000
3.449	102.000	5.000	10.000
3.790	102.000	10.000	10.000
3.870	102.000	20.000	10.000
5.359	102.000	50.000	10.000
5.670	102.000	100.000	10.000
6.315	102.000	200.000	10.000
8.417	102.000	500.000	10.000
2.078	103.000	2.000	10.000
2.655	103.000	5.000	10.000
3.136	103.000	10.000	10.000
3.289	103.000	20.000	10.000
3.958	103.000	50.000	10.000
4.572	103.000	100.000	10.000
5.690	103.000	200.000	10.000
6.644	103.000	500.000	10.000
2.633	104.000	2.000	10.000
3.498	104.000	5.000	10.000
4.013	104.000	10.000	10.000
4.012	104.000	20.000	10.000
5.192	104.000	50.000	10.000
6.123	104.000	100.000	10.000
6.705	104.000	200.000	10.000
8.512	104.000	500.000	10.000
7.538	105.000	2.000	50.000
7.806	105.000	5.000	50.000
8.159	105.000	10.000	50.000
10.637	105.000	20.000	50.000
12.621	105.000	50.000	50.000
13.323	105.000	100.000	50.000
12.869	105.000	200.000	50.000
14.842	105.000	500.000	50.000
7.497	106.000	2.000	50.000
8.080	106.000	5.000	50.000
9.779	106.000	10.000	50.000
10.928	106.000	20.000	50.000
14.797	106.000	50.000	50.000
16.116	106.000	100.000	50.000
17.334	106.000	200.000	50.000
20.179	106.000	500.000	50.000
6.978	107.000	2.000	50.000
8.896	107.000	5.000	50.000
9.390	107.000	10.000	50.000
11.148	107.000	20.000	50.000
12.447	107.000	50.000	50.000
13.538	107.000	100.000	50.000
16.674	107.000	200.000	50.000
17.319	107.000	500.000	50.000
7.805	108.000	2.000	50.000
8.889	108.000	5.000	50.000
9.996	108.000	10.000	50.000
11.524	108.000	20.000	50.000
13.697	108.000	50.000	50.000
16.176	108.000	100.000	50.000
16.233	108.000	200.000	50.000
21.041	108.000	500.000	50.000
12.530	109.000	2.000	100.000
15.380	109.000	5.000	100.000
17.210	109.000	10.000	100.000
20.480	109.000	20.000	100.000
24.100	109.000	50.000	100.000
26.970	109.000	100.000	100.000
29.440	109.000	200.000	100.000
37.870	109.000	500.000	100.000
10.960	110.000	2.000	100.000
13.870	110.000	5.000	100.000
16.070	110.000	10.000	100.000
18.560	110.000	20.000	100.000
22.220	110.000	50.000	100.000
27.820	110.000	100.000	100.000
31.040	110.000	200.000	100.000
36.630	110.000	500.000	100.000
13.050	111.000	2.000	100.000
15.120	111.000	5.000	100.000
18.580	111.000	10.000	100.000
20.180	111.000	20.000	100.000
23.900	111.000	50.000	100.000
29.710	111.000	100.000	100.000
31.470	111.000	200.000	100.000
39.650	111.000	500.000	100.000
11.660	112.000	2.000	100.000
13.680	112.000	5.000	100.000
16.710	112.000	10.000	100.000
17.520	112.000	20.000	100.000
22.300	112.000	50.000	100.000
25.280	112.000	100.000	100.000
31.990	112.000	200.000	100.000
38.160	112.000	500.000	100.000
