kilocycles	Centimeters	Fahrenheit	Method	Event	Count
5000	50	500	New	Suspended	9
3464	60	500	New	Failed		1
1016	60	500	New	Failed		1
2287	60	500	New	Failed		1
5000	60	500	New	Suspended	6
2853	70	500	New	Failed		1
3199	70	500	New	Failed		1
752	70	500	New	Failed		1
2843	70	500	New	Failed		1
4196	70	500	New	Failed		1
2592	70	500	New	Failed		1
4542	70	500	New	Failed		1
5000	70	500	New	Suspended	2
997	50	500	Old	Failed		1
3904	50	500	Old	Failed		1
3674	50	500	Old	Failed		1
3644	50	500	Old	Failed		1
5000	50	500	Old	Suspended	5
2193	60	500	Old	Failed		1
2785	60	500	Old	Failed		1
4006	60	500	Old	Failed		1
1967	60	500	Old	Failed		1
1756	60	500	Old	Failed		1
650	60	500	Old	Failed		1
1995	60	500	Old	Failed		1
1563	60	500	Old	Failed		1
551	60	500	Old	Failed		1
211	70	500	Old	Failed		1
319	70	500	Old	Failed		1
712	70	500	Old	Failed		1
707	70	500	Old	Failed		1
2029	70	500	Old	Failed		1
638	70	500	Old	Failed		1
1065	70	500	Old	Failed		1
834	70	500	Old	Failed		1
218	70	500	Old	Failed		1
4241	50	1000	New	Failed		1
1715	50	1000	New	Failed		1
5000	50	1000	New	Suspended	7
3158	60	1000	New	Failed		1
3545	60	1000	New	Failed		1
4188	60	1000	New	Failed		1
4583	60	1000	New	Failed		1
1595	60	1000	New	Failed		1
3030	60	1000	New	Failed		1
5000	60	1000	New	Suspended	3
2196	70	1000	New	Failed		1
808	70	1000	New	Failed		1
2257	70	1000	New	Failed		1
1147	70	1000	New	Failed		1
1296	70	1000	New	Failed		1
1243	70	1000	New	Failed		1
2309	70	1000	New	Failed		1
4563	70	1000	New	Failed		1
901	70	1000	New	Failed		1
489	50	1000	Old	Failed		1
3756	50	1000	Old	Failed		1
1230	50	1000	Old	Failed		1
3562	50	1000	Old	Failed		1
1898	50	1000	Old	Failed		1
1855	50	1000	Old	Failed		1
5000	50	1000	Old	Suspended	3
1670	60	1000	Old	Failed		1
1481	60	1000	Old	Failed		1
371	60	1000	Old	Failed		1
2630	60	1000	Old	Failed		1
1285	60	1000	Old	Failed		1
2031	60	1000	Old	Failed		1
951	60	1000	Old	Failed		1
1429	60	1000	Old	Failed		1
980	60	1000	Old	Failed		1
963	70	1000	Old	Failed		1
1240	70	1000	Old	Failed		1
1301	70	1000	Old	Failed		1
455	70	1000	Old	Failed		1
151	70	1000	Old	Failed		1
488	70	1000	Old	Failed		1
202	70	1000	Old	Failed		1
89	70	1000	Old	Failed		1
583	70	1000	Old	Failed		1
