Celsius	Discharge_depth	Discharge_time	Charge	Recharge	Koh_percent	Koh_volume	Precharge	Cycles	Event
30	40	1	0.5	140	26	18.5	2.50	12745	Failure
50	80	1	2	140	34	20.5	3.00	964	Failure
30	80	4	2	200	26	18.5	3.00	1791	Failure
50	40	4	0.5	200	34	20.5	2.50	3532	Failure
30	40	1	0.5	200	34	20.5	3.00	12197	Censored
50	80	1	2	200	26	18.5	2.50	810	Failure
30	80	4	2	140	34	20.5	2.50	3298	Failure
50	40	4	0.5	140	26	18.5	3.00	4661	Failure
30	40	4	2	140	26	20.5	3.00	17403	Failure
50	80	4	0.5	140	34	18.5	2.50	20	Failure
30	80	1	0.5	200	26	20.5	2.50	2582	Failure
50	40	1	2	200	34	18.5	3.00	2054	Failure
30	40	4	2	200	34	18.5	2.50	12179	Failure
50	80	4	0.5	200	26	20.5	3.00	34	Failure
30	80	1	0.5	140	34	18.5	3.00	3242	Failure
50	40	1	2	140	26	20.5	2.50	6253	Failure
50	80	1	2	140	26	18.5	3.00	1351	Failure
30	40	1	0.5	140	34	20.5	2.50	12467	Failure
50	40	4	0.5	200	26	18.5	2.50	2830	Failure
30	40	4	2	140	34	20.5	3.00	14366	Failure
50	80	1	2	200	34	20.5	2.50	489	Failure
30	40	1	0.5	200	26	18.5	3.00	4891	Failure
50	40	4	0.5	140	34	20.5	3.00	4650	Failure
50	80	4	2	140	26	18.5	2.50	2041	Failure
50	80	4	0.5	140	26	20.5	2.50	40	Failure
30	40	4	2	140	34	18.5	3.00	12151	Failure
50	40	1	2	200	26	20.5	3.00	2715	Failure
30	80	1	0.5	200	34	18.5	2.50	2561	Failure
50	80	4	0.5	200	34	18.5	3.00	25	Failure
30	40	4	2	200	26	20.5	2.50	7459	Failure
50	40	1	2	140	34	18.5	2.50	4755	Failure
30	80	1	0.5	140	26	20.5	3.00	3166	Failure
30	80	4	0.5	200	34	20.5	2.50	2327	Failure
50	40	4	2	200	26	18.5	3.00	3395	Failure
30	40	1	2	140	34	20.5	3.00	5907	Failure
30	80	1	0.5	140	26	18.5	2.50	1398	Failure
30	80	4	0.5	140	26	18.5	3.00	1454	Failure
50	40	4	2	140	34	20.5	2.50	7422	Failure
30	40	1	2	200	26	18.5	2.50	9640	Failure
50	80	1	0.5	200	34	20.5	3.00	733	Failure
30	80	1	2	200	34	18.5	3.00	816	Failure
50	40	1	0.5	200	26	20.5	2.50	966	Failure
30	40	4	0.5	140	34	18.5	2.50	10677	Failure
50	80	4	2	140	26	20.5	3.00	2609	Failure
30	80	1	2	140	26	20.5	2.50	1960	Failure
50	40	1	0.5	140	34	18.5	3.00	3205	Failure
30	40	4	0.5	200	26	20.5	3.00	8018	Failure
50	80	4	2	200	34	18.5	2.50	827	Failure
50	40	4	2	200	34	20.5	3.00	3946	Failure
30	80	4	0.5	200	26	18.5	2.50	1726	Failure
50	80	1	0.5	140	34	20.5	2.50	12	Failure
30	40	1	2	140	26	18.5	3.00	9960	Failure
50	40	4	2	140	26	18.5	2.50	6676	Failure
30	80	4	0.5	140	34	20.5	3.00	1954	Failure
50	80	1	0.5	200	26	18.5	3.00	433	Failure
30	40	1	2	200	34	20.5	2.50	7272	Failure
50	40	1	0.5	200	34	18.5	2.50	2896	Failure
30	80	1	2	200	26	20.5	3.00	1734	Failure
50	80	4	2	140	34	18.5	3.00	1613	Failure
30	40	4	0.5	140	26	20.5	2.50	8768	Failure
50	40	1	0.5	140	26	20.5	3.00	2518	Failure
30	80	1	2	140	34	18.5	2.50	3029	Failure
50	80	4	2	200	26	20.5	2.50	1075	Failure
30	40	4	0.5	200	34	18.5	3.00	6917	Failure
20	60	2	1	140	30	19.5	2.75	5660	Failure
60	60	2	1	140	30	19.5	2.75	13	Failure
40	20	2	1	140	30	19.5	2.75	14066	Failure
40	100	2	1	140	30	19.5	2.75	955	Failure
40	60	2	0.25	140	30	19.5	2.75	592	Failure
40	60	2	4	140	30	19.5	2.75	1512	Failure
40	60	0.5	1	140	30	19.5	2.75	1638	Failure
40	60	8	1	140	30	19.5	2.75	1717	Failure
40	60	2	1	110	30	19.5	2.75	3501	Failure
40	60	2	1	200	30	19.5	2.75	1810	Failure
40	60	2	1	140	22	19.5	2.75	2557	Failure
40	60	2	1	140	38	19.5	2.75	1669	Failure
40	60	2	1	140	30	19.5	2.20	1909	Failure
40	60	2	1	140	30	19.5	3.30	2368	Failure
40	60	2	1	140	30	17.5	2.75	3679	Failure
40	60	2	1	140	30	21.5	2.75	3223	Failure
40	60	2	1	140	30	19.5	2.75	3055	Failure
40	60	2	1	140	30	19.5	2.75	3803	Failure
40	60	2	1	140	30	19.5	2.75	6153	Censored
0	40	0.8320	0.420	105	34	18.5	2.50	21186	Censored
20	20	0.4160	0.210	105	34	18.5	2.50	20433	Censored
0	20	0.4160	0.210	105	34	18.5	2.50	21541	Censored
20	40	0.8320	0.420	105	34	18.5	2.50	20605	Censored

