Percent	Resistor	Celsius	Hours
0.280	1.000	83.000	0.452
0.320	1.000	83.000	1.030
0.380	1.000	83.000	4.341
0.620	1.000	83.000	8.084
0.220	2.000	83.000	0.452
0.240	2.000	83.000	1.030
0.260	2.000	83.000	4.341
0.380	2.000	83.000	8.084
0.410	3.000	83.000	0.452
0.460	3.000	83.000	1.030
0.540	3.000	83.000	4.341
0.810	3.000	83.000	8.084
0.250	4.000	83.000	0.452
0.290	4.000	83.000	1.030
0.320	4.000	83.000	4.341
0.480	4.000	83.000	8.084
0.250	5.000	83.000	0.452
0.260	5.000	83.000	1.030
0.420	5.000	83.000	4.341
0.570	5.000	83.000	8.084
0.320	6.000	83.000	0.452
0.360	6.000	83.000	1.030
0.450	6.000	83.000	4.341
0.580	6.000	83.000	8.084
0.360	7.000	83.000	0.452
0.410	7.000	83.000	1.030
0.520	7.000	83.000	4.341
0.700	7.000	83.000	8.084
0.240	8.000	83.000	0.452
0.280	8.000	83.000	1.030
0.340	8.000	83.000	4.341
0.550	8.000	83.000	8.084
0.330	9.000	83.000	0.452
0.400	9.000	83.000	1.030
0.440	9.000	83.000	4.341
0.850	9.000	83.000	8.084
0.400	10.000	83.000	0.452
0.470	10.000	83.000	1.030
0.720	10.000	83.000	4.341
1.050	10.000	83.000	8.084
0.880	11.000	133.000	0.452
1.190	11.000	133.000	1.030
2.060	11.000	133.000	4.341
3.150	11.000	133.000	8.084
0.530	12.000	133.000	0.452
0.640	12.000	133.000	1.030
0.990	12.000	133.000	4.341
1.600	12.000	133.000	8.084
0.470	13.000	133.000	0.452
0.620	13.000	133.000	1.030
1.000	13.000	133.000	4.341
1.500	13.000	133.000	8.084
0.570	14.000	133.000	0.452
0.750	14.000	133.000	1.030
1.260	14.000	133.000	4.341
2.030	14.000	133.000	8.084
0.550	15.000	133.000	0.452
0.670	15.000	133.000	1.030
1.090	15.000	133.000	4.341
1.790	15.000	133.000	8.084
0.780	16.000	133.000	0.452
0.960	16.000	133.000	1.030
1.480	16.000	133.000	4.341
2.270	16.000	133.000	8.084
0.830	17.000	133.000	0.452
1.120	17.000	133.000	1.030
1.960	17.000	133.000	4.341
3.290	17.000	133.000	8.084
0.640	18.000	133.000	0.452
0.800	18.000	133.000	1.030
1.230	18.000	133.000	4.341
1.840	18.000	133.000	8.084
0.550	19.000	133.000	0.452
0.740	19.000	133.000	1.030
1.290	19.000	133.000	4.341
2.030	19.000	133.000	8.084
0.870	20.000	133.000	0.452
1.290	20.000	133.000	1.030
2.620	20.000	133.000	4.341
4.440	20.000	133.000	8.084
1.250	21.000	173.000	0.452
1.880	21.000	173.000	1.030
3.540	21.000	173.000	4.341
5.230	21.000	173.000	8.084
2.640	22.000	173.000	0.452
3.780	22.000	173.000	1.030
7.010	22.000	173.000	4.341
11.120	22.000	173.000	8.084
0.980	23.000	173.000	0.452
1.360	23.000	173.000	1.030
2.660	23.000	173.000	4.341
4.420	23.000	173.000	8.084
1.620	24.000	173.000	0.452
2.340	24.000	173.000	1.030
3.820	24.000	173.000	4.341
6.140	24.000	173.000	8.084
1.590	25.000	173.000	0.452
2.410	25.000	173.000	1.030
3.460	25.000	173.000	4.341
6.750	25.000	173.000	8.084
2.290	26.000	173.000	0.452
2.240	26.000	173.000	1.030
6.300	26.000	173.000	4.341
8.340	26.000	173.000	8.084
0.980	27.000	173.000	0.452
1.370	27.000	173.000	1.030
2.470	27.000	173.000	4.341
3.740	27.000	173.000	8.084
1.040	28.000	173.000	0.452
1.540	28.000	173.000	1.030
2.770	28.000	173.000	4.341
4.160	28.000	173.000	8.084
1.190	29.000	173.000	0.452
1.590	29.000	173.000	1.030
3.030	29.000	173.000	4.341
4.520	29.000	173.000	8.084
