Resistor	celsius	Hours	Resistance
1	83	0	217.97
1	83	452	279.0016
1	83	1030	287.7204
1	83	4341	300.7986
1	83	8084	353.1114
2	83	0	217.88
2	83	452	265.8136
2	83	1030	270.1712
2	83	4341	274.5288
2	83	8084	300.6744
3	83	0	224.67
3	83	452	316.7847
3	83	1030	328.0182
3	83	4341	345.9918
3	83	8084	406.6527
4	83	0	215.92
4	83	452	269.9
4	83	1030	278.5368
4	83	4341	285.0144
4	83	8084	319.5616
5	83	0	219.88
5	83	452	274.85
5	83	1030	277.0488
5	83	4341	312.2296
5	83	8084	345.2116
6	83	0	219.63
6	83	452	289.9116
6	83	1030	298.6968
6	83	4341	318.4635
6	83	8084	347.0154
7	83	0	218.27
7	83	452	296.8472
7	83	1030	307.7607
7	83	4341	331.7704
7	83	8084	371.059
8	83	0	217.27
8	83	452	269.4148
8	83	1030	278.1056
8	83	4341	291.1418
8	83	8084	336.7685
9	83	0	219.98
9	83	452	292.5734
9	83	1030	307.972
9	83	4341	316.7712
9	83	8084	406.963
11	133	0	218.05
11	133	452	305.27
11	133	1030	320.5335
11	133	4341	375.046
11	133	8084	447.0025
12	133	0	219.38
12	133	452	412.4344
12	133	1030	480.4422
12	133	4341	671.3028
12	133	8084	910.427
13	133	0	218.35
13	133	452	334.0755
13	133	1030	358.094
13	133	4341	434.5165
13	133	8084	567.71
14	133	0	217.78
14	133	452	320.1366
14	133	1030	352.8036
14	133	4341	435.56
14	133	8084	544.45
15	133	0	218.28
15	133	452	342.6996
15	133	1030	381.99
15	133	4341	493.3128
15	133	8084	661.3884
16	133	0	216.38
16	133	452	335.389
16	133	1030	361.3546
16	133	4341	452.2342
16	133	8084	603.7002
17	133	0	217.65
17	133	452	387.417
17	133	1030	426.594
17	133	4341	539.772
17	133	8084	711.7155
18	133	0	221.91
18	133	452	406.0953
18	133	1030	470.4492
18	133	4341	656.8536
18	133	8084	951.9939
19	133	0	218.47
19	133	452	358.2908
19	133	1030	393.246
19	133	4341	487.1881
19	133	8084	620.4548
20	133	0	217.59
20	133	452	337.2645
20	133	1030	378.6066
20	133	4341	498.2811
20	133	8084	659.2977
21	173	0	216.31
21	173	452	404.4997
21	173	1030	495.3499
21	173	4341	783.0422
21	173	8084	1176.7264
22	173	0	216.62
22	173	452	487.395
22	173	1030	623.8656
22	173	4341	983.4548
22	173	8084	1349.5426
23	173	0	221.98
23	173	452	808.0072
23	173	1030	1061.0644
23	173	4341	1778.0598
23	173	8084	2690.3976
24	173	0	217.83
24	173	452	431.3034
24	173	1030	514.0788
24	173	4341	797.2578
24	173	8084	1180.6386
25	173	0	217.3
25	173	452	569.326
25	173	1030	725.782
25	173	4341	1047.386
25	173	8084	1551.522
26	173	0	216.75
26	173	452	561.3825
26	173	1030	739.1175
26	173	4341	966.705
26	173	8084	1679.8125
27	173	0	220.39
27	173	452	725.0831
27	173	1030	714.0636
27	173	4341	1608.847
27	173	8084	2058.4426
28	173	0	216.26
28	173	452	428.1948
28	173	1030	512.5362
28	173	4341	750.4222
28	173	8084	1025.0724
29	173	0	217.86
29	173	452	444.4344
29	173	1030	553.3644
29	173	4341	821.3322
29	173	8084	1124.1576
30	173	0	217.49
30	173	452	476.3031
30	173	1030	563.2991
30	173	4341	876.4847
30	173	8084	1200.5448
