	Miles	Mode		Event
	6700	Mode1		Failure
	6950	Censored	Censored
	7820	Censored	Censored
	8790	Censored	Censored
	9120	Mode2		Failure
	9660	Censored	Censored
	9820	Censored	Censored
	11310	Censored	Censored
	11690	Censored	Censored
	11850	Censored	Censored
	11880	Censored	Censored
	12140	Censored	Censored
	12200	Mode1		Failure
	12870	Censored	Censored
	13150	Mode2		Failure
	13330	Censored	Censored
	13470	Censored	Censored
	14040	Censored	Censored
	14300	Mode1		Failure
	17520	Mode1		Failure
	17540	Censored	Censored
	17890	Censored	Censored
	18450	Censored	Censored
	18960	Censored	Censored
	18980	Censored	Censored
	19410	Censored	Censored
	20100	Mode2		Failure
	20100	Censored	Censored
	20150	Censored	Censored
	20320	Censored	Censored
	20900	Mode2		Failure
	22700	Mode1		Failure
	23490	Censored	Censored
	26510	Mode1		Failure
	27410	Censored	Censored
	27490	Mode1		Failure
	27890	Censored	Censored
	28100	Censored	Censored
