Hours	Event	Count	Volts	celsius
20	Failure	1	35.0	85
90	Failure	1	35.0	85
700	Failure	1	35.0	85
37000	Failure	1	35.0	85
37000	Censored	996	35.0	85
20	Failure	1	40.6	85
3600	Failure	1	40.6	85
9500	Failure	1	40.6	85
27000	Failure	1	40.6	85
27000	Censored	196	40.6	85
800	Failure	1	46.5	85
2800	Failure	1	46.5	85
2800	Censored	48	46.5	85
500	Failure	1	51.5	85
800	Failure	1	51.5	85
2400	Failure	1	51.5	85
10700	Failure	1	51.5	85
10700	Censored	49	51.5	85
100	Failure	1	46.5	45
1200	Failure	1	46.5	45
7500	Failure	1	46.5	45
20000	Failure	1	46.5	45
26000	Failure	1	46.5	45
27300	Failure	1	46.5	45
27300	Censored	496	46.5	45
1000	Failure	1	46.5	5
1000	Censored	174	46.5	5
25	Failure	1	62.5	5
50	Failure	1	62.5	5
165	Failure	1	62.5	5
500	Failure	1	62.5	5
620	Failure	1	62.5	5
720	Failure	1	62.5	5
820	Failure	1	62.5	5
910	Failure	1	62.5	5
980	Failure	1	62.5	5
1270	Failure	1	62.5	5
1600	Failure	1	62.5	5
2270	Failure	1	62.5	5
2370	Failure	1	62.5	5
4590	Failure	1	62.5	5
4880	Failure	1	62.5	5
7560	Failure	1	62.5	5
8730	Failure	1	62.5	5
12500	Failure	1	62.5	5
12500	Censored	156	62.5	5
8900	Failure	1	57.0	45
8900	Censored	49	57.0	45

