Cycles	Mode
184	Crack
145	Crack
16	Fixture
200	Crack
142	Crack
166	Crack
160	Crack
80	Fixture
176	Crack
158	Crack
158	Crack
167	Fixture
188	Crack
163	Crack
158	Crack
166	Crack
161	Crack
169	Crack
179	Crack
152	Crack
139	Crack
36	Fixture
166	Crack
204	Crack
160	Crack
155	Crack
152	Crack
182	Crack
158	Crack
180	Crack
169	Crack
39	Fixture
48	Fixture
134	Fixture
169	Crack
80	Fixture
169	Crack
172	Crack
166	Crack
190	Crack
184	Crack
185	Crack
6	Fixture
145	Crack
140	Crack
172	Crack
182	Crack
198	Crack
164	Crack
169	Crack
