Unit	Kilohours	Event
101	.860	Repair
101	1.258	Repair
101	1.317	Repair
101	1.442	Repair
101	1.897	Repair
101	2.011	Repair
101	2.122	Repair
101	2.439	Repair
101	3.203	Repair
101	3.298	Repair
101	3.902	Repair
101	3.910	Repair
101	4.000	Repair
101	4.247	Repair
101	4.411	Repair
101	4.456	Repair
101	4.517	Repair
101	4.899	Repair
101	4.910	Repair
101	5.676	Repair
101	5.755	Repair
101	6.137	Repair
101	6.221	Repair
101	6.311	Repair
101	6.613	Repair
101	6.975	Repair
101	7.335	Repair
101	8.158	Repair
101	8.498	Repair
101	8.690	Repair
101	9.042	Repair
101	9.330	Repair
101	9.394	Repair
101	9.426	Repair
101	9.872	Repair
101	10.191	Repair
101	11.511	Repair
101	11.575	Repair
101	12.100	Repair
101	12.126	Repair
101	12.368	Repair
101	12.681	Repair
101	12.795	Repair
101	13.399	Repair
101	13.668	Repair
101	13.780	Repair
101	13.877	Repair
101	14.007	Repair
101	14.028	Repair
101	14.035	Repair
101	14.173	Repair
101	14.173	Repair
101	14.449	Repair
101	14.587	Repair
101	14.610	Repair
101	15.070	Repair
101	16.000	End
