Specimen	Step	Hertz	Ratio	Cycles	Range	Tensile	Event	SWT
26-B2	No	60.00	-1.00	37767.00	155.00	77.50	1.00	77.50
26-B6	No	60.00	-1.00	68227.00	145.00	72.50	1.00	72.50
26-C3	No	60.00	-1.00	103346.00	140.00	70.00	1.00	70.00
108-A1	No	60.00	-1.00	88303.00	135.00	67.50	1.00	67.50
108-A5	No	60.00	-1.00	112075.00	130.00	65.00	1.00	65.00
108-B2	No	60.00	-1.00	205774.00	120.00	60.00	1.00	60.00
149-A1	No	60.00	-1.00	10000000.00	116.00	58.00	0.00	58.00
149-B2	No	60.00	-1.00	3247816.00	120.00	60.00	1.00	60.00
26-A1	No	60.00	-1.00	6553514.00	120.00	60.00	1.00	60.00
108-B6	No	60.00	-1.00	1834570.00	110.00	55.00	1.00	55.00
108-C7	No	60.00	-1.00	474975.00	110.00	55.00	1.00	55.00
149-B6	No	60.00	-1.00	183276.00	125.00	62.50	1.00	62.50
149-D7	No	60.00	-1.00	10000000.00	120.00	60.00	0.00	60.00
26-D4	Yes	60.00	-1.00	10000000.00	127.76	63.88	1.00	63.88
108-C3	Yes	60.00	-1.00	10000000.00	115.62	57.81	1.00	57.81
149-C3	Yes	60.00	-1.00	10000000.00	140.43	70.21	1.00	70.21
108-D4	Yes	60.00	-1.00	10000000.00	117.71	58.86	1.00	58.86
PW-1	No	1000.00	-1.00	2400000.00	120.00	60.00	1.00	60.00
PW-18	Yes	1000.00	-1.00	10000000.00	123.44	61.72	1.00	61.72
PW-2	Yes	1000.00	-1.00	100000000.00	119.80	59.90	1.00	59.90
PW-19	Yes	1000.00	-1.00	100000000.00	121.30	60.65	1.00	60.65
PW-20	Yes	1000.00	-1.00	100000000.00	127.34	63.67	1.00	63.67
PW-21	Yes	1000.00	-1.00	100000000.00	133.88	66.94	1.00	66.94
PW-17	No	1000.00	-1.00	1000000000.00	100.00	50.00	0.00	50.00
PW-16	No	1000.00	-1.00	1000000000.00	115.50	57.75	0.00	57.75
10-5	No	0.33	-1.00	127426.00	135.57	64.69	0.00	66.13
10-7	No	0.33	-1.00	200660.00	95.66	45.24	0.00	48.04
10-12	No	0.33	-1.00	5319.00	224.78	112.26	1.00	115.02
34-3	No	0.33	-1.00	6737.00	217.36	105.74	1.00	108.07
34-2	No	0.33	-1.00	9700.00	205.05	101.50	1.00	102.01
34-1	No	0.33	-1.00	20199.00	170.00	85.06	1.00	84.29
10-9	No	0.33	-1.00	48537.00	154.60	79.23	1.00	78.27
26-A6	No	60.00	0.10	633168.00	81.00	90.00	1.00	60.37
26-B3	No	60.00	0.10	69866.00	90.00	100.00	1.00	67.08
26-C4	No	60.00	0.10	153918.00	85.50	95.00	1.00	63.73
26-D5	No	60.00	0.10	2844620.00	76.50	85.00	1.00	57.02
108-A2	No	60.00	0.10	953156.00	78.00	86.67	1.00	58.14
108-A6	No	60.00	0.10	98046.00	85.50	95.00	1.00	63.73
108-C4	No	60.00	0.10	10000000.00	74.00	82.22	0.00	55.16
108-D1	No	60.00	0.10	7268673.00	76.50	85.00	1.00	57.02
149-A2	No	60.00	0.10	209277.00	81.00	90.00	1.00	60.37
149-B7	No	60.00	0.10	257988.00	78.30	87.00	1.00	58.36
149-C1	No	60.00	0.10	85023.00	92.70	103.00	1.00	69.09
149-C5	No	60.00	0.10	91551.00	88.20	98.00	1.00	65.74
149-D1	No	60.00	0.10	1493080.00	76.50	85.00	1.00	57.02
149-A6	No	60.00	0.10	4526292.00	75.00	83.33	1.00	55.90
26-B7	Yes	60.00	0.10	10000000.00	77.32	85.91	1.00	57.63
26-A2	Yes	60.00	0.10	10000000.00	71.54	79.49	1.00	53.33
26-D1	Yes	60.00	0.10	10000000.00	71.65	79.61	1.00	53.40
149-B3	Yes	60.00	0.10	10000000.00	74.36	82.62	1.00	55.42
10-10	No	0.33	0.10	116589.00	68.69	77.74	0.00	51.54
10-15	No	0.33	0.10	137840.00	84.17	93.23	0.00	62.76
10-13	No	0.33	0.10	5210.00	214.05	120.42	1.00	115.55
10-8	No	0.33	0.10	5805.00	192.03	111.71	1.00	107.09
34-7	No	0.33	0.10	9290.00	163.05	112.34	1.00	96.62
34-8	No	0.33	0.10	16046.00	135.05	114.74	1.00	93.38
34-9	No	0.33	0.10	38841.00	103.39	112.16	1.00	79.69
26-A7	No	60.00	0.50	958797.00	60.00	120.00	1.00	60.00
26-B4	No	60.00	0.50	152993.00	65.00	130.00	1.00	65.00
26-C1	No	60.00	0.50	5281133.00	55.00	110.00	1.00	55.00
26-C5	No	60.00	0.50	1340436.00	57.00	114.00	1.00	57.00
26-D6	No	60.00	0.50	1687437.00	55.00	110.00	1.00	55.00
108-A3	No	60.00	0.50	1453661.00	53.00	106.00	1.00	53.00
108-A7	No	60.00	0.50	3596869.00	51.50	103.00	1.00	51.50
108-C5	No	60.00	0.50	119054.00	65.00	130.00	1.00	65.00
108-D2	No	60.00	0.50	408178.00	60.00	120.00	1.00	60.00
108-B4	No	60.00	0.50	5563469.00	50.00	100.00	1.00	50.00
108-D6	No	60.00	0.50	1015716.00	55.00	110.00	1.00	55.00
149-A3	No	60.00	0.50	2684170.00	52.50	105.00	1.00	52.50
149-B4	No	60.00	0.50	10000000.00	47.50	95.00	0.00	47.50
149-D2	No	60.00	0.50	10000000.00	48.00	96.00	0.00	48.00
149-C4	No	60.00	0.50	1792792.00	55.00	110.00	1.00	55.00
149-D4	No	60.00	0.50	6086142.00	50.00	100.00	1.00	50.00
26-A3	Yes	60.00	0.50	10000000.00	47.58	95.16	1.00	47.58
26-D2	Yes	60.00	0.50	10000000.00	47.81	95.63	1.00	47.81
108-C1	Yes	60.00	0.50	10000000.00	47.54	95.08	1.00	47.54
149-A7	Yes	60.00	0.50	10000000.00	48.11	96.21	1.00	48.11
34-5	No	0.33	0.50	201762.00	55.09	114.04	0.00	55.58
10-17	No	0.33	0.50	4802.00	198.30	114.60	1.00	114.35
10-19	No	0.33	0.50	13790.00	158.70	113.40	1.00	97.31
10-24	No	0.33	0.50	26336.00	130.10	113.80	1.00	86.14
34-6	No	0.33	0.50	34064.00	97.41	116.05	1.00	79.51
10-25	No	0.33	0.50	50265.00	99.10	115.40	1.00	75.12
