Inches	Kilocycles
30	59
30	91
30	72
30	49
30	53
30	48
30	71
30	79
30	93
30	25
30	84
30	93
30	131
30	50
30	63
30	99
30	113
30	133
30	101
30	44
30	88
30	132
30	152
30	93
30	98
30	107
30	128
30	140
30	121
30	84
30	91
30	143
30	158
30	97
30	218
30	121
30	132
30	142
30	124
30	119
30	117
30	182
30	164
30	117
30	222
30	144
30	143
30	222
30	130
30	157
30	129
30	189
30	219
30	120
30	229
30	152
30	181
30	282
30	139
30	174
30	134
30	208
30	238
30	163
30	244
30	173
30	203
30	287
30	212
30	187
30	152
30	260
30	271
30	240
30	272
30	182
30	243
30	344
30	236
30	202
30	203
30	314
30	324
30	368
30	333
30	217
30	363
30	366
30	308
30	258
30	297
30	502
30	347
30	573
30	531
30	273
30	365
30	512
30	353
40	33
40	32
40	50
40	18
40	37
40	36
40	31
40	10
40	34
40	44
40	57
40	64
40	60
40	47
40	97
40	37
40	60
40	44
40	36
40	45
40	71
40	108
40	61
40	51
40	112
40	65
40	79
40	64
40	54
40	94
40	109
40	113
40	65
40	84
40	118
40	72
40	99
40	83
40	68
40	111
40	110
40	172
40	94
40	136
40	133
40	73
40	100
40	87
40	124
40	112
40	112
40	178
40	133
40	144
40	137
40	94
40	122
40	113
40	125
40	119
40	113
40	185
40	138
40	164
40	145
40	117
40	137
40	121
40	143
40	126
40	124
40	195
40	183
40	208
40	166
40	132
40	150
40	126
40	148
40	127
40	137
40	223
40	221
40	209
40	259
40	143
40	152
40	219
40	239
40	139
40	160
40	271
40	240
40	312
40	325
40	181
40	189
40	256
40	314
50	62
50	67
50	28
50	22
50	30
50	19
50	30
50	19
50	24
50	35
50	88
50	77
50	45
50	27
50	31
50	27
50	37
50	52
50	31
50	38
50	97
50	81
50	54
50	69
50	43
50	34
50	41
50	53
50	42
50	75
50	100
50	89
50	64
50	72
50	72
50	74
50	45
50	62
50	46
50	86
50	114
50	93
50	80
50	74
50	80
50	78
50	50
50	67
50	61
50	91
50	116
50	111
50	103
50	88
50	89
50	106
50	64
50	75
50	85
50	107
50	153
50	123
50	131
50	97
50	93
50	110
50	76
50	107
50	120
50	115
50	160
50	145
50	137
50	99
50	132
50	203
50	77
50	133
50	146
50	129
50	161
50	312
50	146
50	145
50	140
50	232
50	115
50	197
50	159
50	182
50	260
50	373
50	188
50	237
50	144
50	264
50	191
50	228
50	164
50	194
60	23
60	39
60	23
60	29
60	24
60	11
60	27
60	45
60	21
60	36
60	52
60	36
60	36
60	46
60	25
60	48
60	63
60	50
60	28
60	37
60	60
60	55
60	51
60	54
60	30
60	55
60	68
60	54
60	44
60	43
60	64
60	56
60	57
60	63
60	31
60	77
60	81
60	69
60	66
60	70
60	77
60	64
60	60
60	70
60	62
60	82
60	82
60	73
60	68
60	98
60	80
60	76
60	64
60	76
60	96
60	86
60	114
60	80
60	89
60	103
60	82
60	86
60	86
60	77
60	118
60	91
60	119
60	88
60	92
60	112
60	94
60	99
60	105
60	84
60	119
