Inches Kilocycles Event
 30  59   Failed
 30  91   Failed
 30  72   Failed
 30  49   Failed
 30  53   Failed
 30  48   Failed
 30  71   Failed
 30  79   Failed
 30  93   Failed
 30  25   Failed
 30  84   Failed
 30  93   Failed
 30 100   Censored
 30  50   Failed
 30  63   Failed
 30  99   Failed
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30  44   Failed
 30  88   Failed
 30 100   Censored
 30 100   Censored
 30  93   Failed
 30  98   Failed
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30  84   Failed
 30  91   Failed
 30 100   Censored
 30 100   Censored
 30  97   Failed
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 30 100   Censored
 60  23   Failed
 60  39   Failed
 60  23   Failed
 60  29   Failed
 60  24   Failed
 60  11   Failed
 60  27   Failed
 60  45   Failed
 60  21   Failed
 60  36   Failed
 60  52   Failed
 60  36   Failed
 60  36   Failed
 60  46   Failed
 60  25   Failed
 60  48   Failed
 60  63   Failed
 60  50   Failed
 60  28   Failed
 60  37   Failed
 60  60   Failed
 60  55   Failed
 60  51   Failed
 60  54   Failed
 60  30   Failed
 60  55   Failed
 60  68   Failed
 60  54   Failed
 60  44   Failed
 60  43   Failed
 60  64   Failed
 60  56   Failed
 60  57   Failed
 60  63   Failed
 60  31   Failed
 60  77   Failed
 60  81   Failed
 60  69   Failed
 60  66   Failed
 60  70   Failed
 60  77   Failed
 60  64   Failed
 60  60   Failed
 60  70   Failed
 60  62   Failed
 60  82   Failed
 60  82   Failed
 60  73   Failed
 60  68   Failed
 60  98   Failed
 60  80   Failed
 60  76   Failed
 60  64   Failed
 60  76   Failed
 60  96   Failed
 60  86   Failed
 60 100   Censored
 60  80   Failed
 60  89   Failed
 60 100   Censored
 60  82   Failed
 60  86   Failed
 60  86   Failed
 60  77   Failed
 60 100   Censored
 60  91   Failed
 60 100   Censored
 60  88   Failed
 60  92   Failed
 60 100   Censored
 60  94   Failed
 60  99   Failed
 60 100   Censored
 60  84   Failed
 60 100   Censored
 60  97   Failed
 60 100   Censored
 60  89   Failed
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Failed
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 60 100   Censored
 90  17   Failed
 90  16   Failed
 90  36   Failed
 90  11   Failed
 90  23   Failed
 90  21   Failed
 90  24   Failed
 90  27   Failed
 90  16   Failed
 90  15   Failed
 90  21   Failed
 90  26   Failed
 90  37   Failed
 90  29   Failed
 90  25   Failed
 90  31   Failed
 90  31   Failed
 90  29   Failed
 90  26   Failed
 90  20   Failed
 90  35   Failed
 90  28   Failed
 90  42   Failed
 90  37   Failed
 90  27   Failed
 90  33   Failed
 90  35   Failed
 90  32   Failed
 90  29   Failed
 90  22   Failed
 90  40   Failed
 90  48   Failed
 90  43   Failed
 90  41   Failed
 90  37   Failed
 90  45   Failed
 90  36   Failed
 90  45   Failed
 90  33   Failed
 90  25   Failed
 90  41   Failed
 90  51   Failed
 90  53   Failed
 90  43   Failed
 90  41   Failed
 90  46   Failed
 90  37   Failed
 90  50   Failed
 90  34   Failed
 90  44   Failed
 90  52   Failed
 90  54   Failed
 90  54   Failed
 90  44   Failed
 90  46   Failed
 90  51   Failed
 90  38   Failed
 90  51   Failed
 90  49   Failed
 90  55   Failed
 90  55   Failed
 90  66   Failed
 90  62   Failed
 90  48   Failed
 90  54   Failed
 90  63   Failed
 90  42   Failed
 90  56   Failed
 90  52   Failed
 90  56   Failed
 90  65   Failed
 90  67   Failed
 90  87   Failed
 90  53   Failed
 90  58   Failed
 90  70   Failed
 90  43   Failed
 90  59   Failed
 90  64   Failed
 90  62   Failed
 90  72   Failed
 90  68   Failed
 90  89   Failed
 90  59   Failed
 90  99   Failed
 90  83   Failed
 90  65   Failed
 90 100   Censored
 90  68   Failed
 90  63   Failed
 90 100   Censored
 90 100   Censored
 90 100   Censored
 90  62   Failed
 90 100   Censored
 90 100   Censored
 90 100   Censored
 90 100   Censored
 90  68   Failed
 90  86   Failed
