Kilocycles	Event	Count	PStress	LPStress	LPStress2
5.733	Failure	1	145.9	4.98292	24.82951
13.949	Failure	1	85.2	4.44500	19.75804
15.616	Failure	1	116.4	4.75703	22.62936
56.723	Failure	1	87.2	4.46820	19.96485
12.076	Failure	1	100.1	4.60617	21.21680
152.680	Failure	1	85.8	4.45202	19.82047
43.331	Failure	1	99.8	4.60317	21.18916
18.067	Failure	1	113.0	4.72739	22.34820
9.750	Failure	1	120.4	4.79082	22.95195
156.725	Failure	1	86.4	4.45899	19.88257
112.968	Right	1	85.6	4.44969	19.79970
138.114	Right	1	86.7	4.46245	19.91349
122.372	Right	1	89.7	4.49647	20.21825
21.300	Failure	1	114.8	4.74319	22.49787
6.705	Failure	1	144.5	4.97328	24.73351
112.002	Failure	1	91.3	4.51415	20.37756
11.865	Failure	1	142.5	4.95934	24.59507
13.181	Failure	1	100.5	4.61016	21.25355
8.489	Failure	1	118.4	4.77407	22.79173
12.434	Failure	1	118.6	4.77576	22.80785
13.030	Failure	1	118.0	4.77068	22.75943
57.923	Right	1	80.8	4.39198	19.28946
121.075	Failure	1	87.3	4.46935	19.97509
200.027	Failure	1	80.6	4.38950	19.26770
211.629	Failure	1	80.3	4.38577	19.23498
155.000	Failure	1	84.3	4.43438	19.66374
