Kilocycles Strain Event
138.031 6.9 Failed
1037.226 5.2 Censored
1.066 21.6 Failed
11.518 12.3 Failed
181.545 7 Failed
1057.643 5.2 Censored
1.081 20.8 Failed
9.895 12.5 Failed
8.156 14.2 Failed
1.874 20.7 Failed
1282.954 6 Censored
578.5 6.8 Failed
29.032 9.9 Failed
183.76 7.7 Failed
551.047 6.8 Failed
26.892 9.8 Failed
7.948 13.4 Failed
1.914 20.3 Failed
222.166 7.4 Failed
1029.875 6 Censored
708.664 6.7 Failed
738.823 6.7 Failed
7.755 14.4 Failed
28.178 10.4 Failed
950.796 6.5 Failed
1.722 22.1 Failed
721.634 7.7 Failed
1020.891 6.2 Censored
1300.136 6.4 Censored
894.458 7.3 Failed
440.775 6.8 Failed
2.286 21.4 Failed
6.904 14.3 Failed
1021.841 6.3 Censored
1028.038 6.3 Censored
33.214 10.4 Failed
1020.891 7.3 Censored
1336.183 6.4 Censored
542.305 7.7 Failed
717.451 7.2 Failed
106.195 7.6 Failed
1020.892 5 Censored
2.006 19.9 Failed
13.317 11.3 Failed
14.251 10.9 Failed
1.654 18.8 Failed
1066.832 4.8 Censored
130.858 7.2 Failed
10.079 11.7 Failed
1110.066 5.2 Failed
1088.241 5.7 Censored
63.848 7.5 Failed
3.336 15.1 Failed
8.457 11.7 Failed
1.579 19.9 Failed
1.337 20.2 Failed
102.193 8.2 Failed
627.834 5.9 Failed
20.965 9.2 Failed
34.191 8.1 Failed
1026.445 5.2 Censored
1263.659 6 Censored
1039.737 6.3 Censored
1034.776 5.9 Censored
513.138 8 Failed
11.91 12.2 Failed
3.257 14.7 Failed
2.103 19.5 Failed
1.737 19.2 Failed
146.44 8.1 Failed
20.995 9.8 Failed
7.728 12 Failed
178.888 8.1 Failed
1.256 19.5 Failed
6.231 12.3 Failed
1.607 20.4 Failed
6.838 12.3 Failed
146.011 8.1 Failed
64.079 7.9 Failed
1049.048 7.9 Censored
50.636 9.4 Failed
669.002 8.9 Failed
1.309 21 Failed
5.157 12.8 Failed
1028.038 7.7 Censored
1041.309 7.8 Censored
1127.585 7.9 Censored
274.12 7.9 Failed
4.89 12.6 Failed
1.018 21.4 Failed
88.552 8.2 Failed
43.055 9.2 Failed
1402.817 7.9 Censored
1115.39 7.6 Censored
1092.252 7.9 Censored
1021.198 7.5 Censored
